Method,Ticker,Bump,Mean_Gamma,Analytic,Replication_SD,RMSE,Estimate / analytic
MC,NDX Index,0.0025,5.217369492418196e-05,5.2107169399970926e-05,3.4110169420940104e-06,3.3033728881887748e-06,1.0012767057772873
MC,NDX Index,0.005,5.1917581715084784e-05,5.2107169399970926e-05,2.356771271573255e-06,2.2897960913837804e-06,0.9963615815813966
MC,NDX Index,0.01,5.19330596893112e-05,5.2107169399970926e-05,1.8757210930006538e-06,1.8244857382021677e-06,0.9966586227449188
MC,NDX Index,0.02,5.1827060047116886e-05,5.2107169399970926e-05,1.2471662551543108e-06,1.239625321741295e-06,0.9946243605999024
MC,RTY Index,0.0025,0.0005968490886249756,0.0005906533709811822,1.7066093085783722e-05,1.7647527574945382e-05,1.0104896000737307
MC,RTY Index,0.005,0.0005916686561205898,0.0005906533709811822,1.1053927990809395e-05,1.0750967174569759e-05,1.001718918725074
MC,RTY Index,0.01,0.0005926448337060646,0.0005906533709811822,9.492945403420912e-06,9.404769292221126e-06,1.0033716267826833
MC,RTY Index,0.02,0.0005920063251855449,0.0005906533709811822,6.5695013188324134e-06,6.50318659840002e-06,1.002290606082744
MC,SPX Index,0.0025,0.00028385797487078185,0.0002810396349131103,1.0624390086127652e-05,1.0666107573774411e-05,1.010028265082763
MC,SPX Index,0.005,0.00028231911513557334,0.0002810396349131103,8.815235277947565e-06,8.630681857906548e-06,1.0045526682485857
MC,SPX Index,0.01,0.0002806385892636737,0.0002810396349131103,6.235637866183239e-06,6.050935339782118e-06,0.9985729925618478
MC,SPX Index,0.02,0.00028049002393262784,0.0002810396349131103,4.198486346756472e-06,4.102152405569985e-06,0.9980443648788102
RQMC,NDX Index,0.0025,5.069348636957097e-05,5.2107169399970926e-05,3.3770923447308954e-06,3.5623665408304503e-06,0.9728697020644391
RQMC,NDX Index,0.005,5.1203272399505476e-05,5.2107169399970926e-05,1.8418608500399304e-06,1.9993631402094988e-06,0.9826531164353374
RQMC,NDX Index,0.01,5.158118153211101e-05,5.2107169399970926e-05,1.3229181849481157e-06,1.3846998694475581e-06,0.9899056526401873
RQMC,NDX Index,0.02,5.163547896785161e-05,5.2107169399970926e-05,9.504999629263299e-07,1.0341549241074465e-06,0.9909476865170193
RQMC,RTY Index,0.0025,0.0005973121166519167,0.0005906533709811822,3.1391437592847725e-05,3.1115468033103325e-05,1.0112735252144132
RQMC,RTY Index,0.005,0.0005989821437425754,0.0005906533709811822,1.7977605760894266e-05,1.9296712681158425e-05,1.0141009484929504
RQMC,RTY Index,0.01,0.0005958460589519508,0.0005906533709811822,1.1215934069785915e-05,1.2037394313282169e-05,1.0087914303479595
RQMC,RTY Index,0.02,0.0005920556069557385,0.0005906533709811822,7.468941650793771e-06,7.36646367159078e-06,1.0023740421090408
RQMC,SPX Index,0.0025,0.000282893033162777,0.0002810396349131103,1.0748976734482392e-05,1.0571390854939979e-05,1.0065947931160661
RQMC,SPX Index,0.005,0.00028365707992256876,0.0002810396349131103,7.494975201800435e-06,7.714580728945502e-06,1.0093134372675503
RQMC,SPX Index,0.01,0.000284227823341668,0.0002810396349131103,4.681175084458343e-06,5.541512258998767e-06,1.01134426619058
RQMC,SPX Index,0.02,0.000283275958123262,0.0002810396349131103,3.8092224928277064e-06,4.313285464716691e-06,1.007957323211166
