Method,Barrier ratio,Replication,Spot bump,Delta
Direct MC,0.7,0,0.001,0.5977857999723035
Direct MC,0.7,0,0.0025,0.5975526906697297
Direct MC,0.7,0,0.005,0.5974486212643111
Direct MC,0.7,0,0.01,0.5973235397799446
Conditioned MC,0.7,0,0.001,0.5979336602525098
Conditioned MC,0.7,0,0.0025,0.5976503028204476
Conditioned MC,0.7,0,0.005,0.5975136547288749
Conditioned MC,0.7,0,0.01,0.5973570773669916
Direct MC,0.85,0,0.001,0.6208586628661994
Direct MC,0.85,0,0.0025,0.6171356581956964
Direct MC,0.85,0,0.005,0.6100640415810172
Direct MC,0.85,0,0.01,0.6132574505660484
Conditioned MC,0.85,0,0.001,0.6185905297801231
Conditioned MC,0.85,0,0.0025,0.6185850765626242
Conditioned MC,0.85,0,0.005,0.6184850457216573
Conditioned MC,0.85,0,0.01,0.6184795219859698
Direct MC,0.95,0,0.001,0.7446760786634821
Direct MC,0.95,0,0.0025,0.7675319058547387
Direct MC,0.95,0,0.005,0.7967571573707577
Direct MC,0.95,0,0.01,0.810184981360718
Conditioned MC,0.95,0,0.001,0.7977932913853492
Conditioned MC,0.95,0,0.0025,0.7977415592712997
Conditioned MC,0.95,0,0.005,0.7975664243264955
Conditioned MC,0.95,0,0.01,0.7968640329825263
Direct MC,0.7,1,0.001,0.5998599524725634
Direct MC,0.7,1,0.0025,0.5973600223520386
Direct MC,0.7,1,0.005,0.5963354411305364
Direct MC,0.7,1,0.01,0.5960531818273926
Conditioned MC,0.7,1,0.001,0.5957766796395347
Conditioned MC,0.7,1,0.0025,0.5957771945173427
Conditioned MC,0.7,1,0.005,0.5955869711969068
Conditioned MC,0.7,1,0.01,0.5957079652148476
Direct MC,0.85,1,0.001,0.6116137873111427
Direct MC,0.85,1,0.0025,0.6133478367769527
Direct MC,0.85,1,0.005,0.6143883338075895
Direct MC,0.85,1,0.01,0.617565239258671
Conditioned MC,0.85,1,0.001,0.6147591908553007
Conditioned MC,0.85,1,0.0025,0.6148886074151427
Conditioned MC,0.85,1,0.005,0.614895508170866
Conditioned MC,0.85,1,0.01,0.6149162856347394
Direct MC,0.95,1,0.001,0.8572567166693235
Direct MC,0.95,1,0.0025,0.814066631371249
Direct MC,0.95,1,0.005,0.7808654214531394
Direct MC,0.95,1,0.01,0.7791332653763368
Conditioned MC,0.95,1,0.001,0.7965485864580879
Conditioned MC,0.95,1,0.0025,0.7964857620969017
Conditioned MC,0.95,1,0.005,0.7963239367033159
Conditioned MC,0.95,1,0.01,0.7956507121768888
Direct MC,0.7,2,0.001,0.5938110896138049
Direct MC,0.7,2,0.0025,0.5937018312497742
Direct MC,0.7,2,0.005,0.5935507261905304
Direct MC,0.7,2,0.01,0.5932663825651971
Conditioned MC,0.7,2,0.001,0.5937919852700357
Conditioned MC,0.7,2,0.0025,0.5937190078734496
Conditioned MC,0.7,2,0.005,0.5935532003268058
Conditioned MC,0.7,2,0.01,0.5932544290170343
Direct MC,0.85,2,0.001,0.6095403536144239
Direct MC,0.85,2,0.0025,0.6158019816622797
Direct MC,0.85,2,0.005,0.6144999033226366
Direct MC,0.85,2,0.01,0.6166982971801112
Conditioned MC,0.85,2,0.001,0.6118483587250356
Conditioned MC,0.85,2,0.0025,0.6118394174687616
Conditioned MC,0.85,2,0.005,0.6118834778866766
Conditioned MC,0.85,2,0.01,0.6119762964394431
Direct MC,0.95,2,0.001,0.9440703742822087
Direct MC,0.95,2,0.0025,0.8379721660713422
Direct MC,0.95,2,0.005,0.8174217368624372
Direct MC,0.95,2,0.01,0.8112822461053311
Conditioned MC,0.95,2,0.001,0.7925200573646096
Conditioned MC,0.95,2,0.0025,0.7924730434785783
Conditioned MC,0.95,2,0.005,0.7922927646796314
Conditioned MC,0.95,2,0.01,0.791606298463805
Direct MC,0.7,3,0.001,0.597720789293783
Direct MC,0.7,3,0.0025,0.5979141175711256
Direct MC,0.7,3,0.005,0.5983419929449614
Direct MC,0.7,3,0.01,0.5990620569319018
Conditioned MC,0.7,3,0.001,0.5977193846326045
Conditioned MC,0.7,3,0.0025,0.5979091335748841
Conditioned MC,0.7,3,0.005,0.5983461533432894
Conditioned MC,0.7,3,0.01,0.5990593074130555
Direct MC,0.85,3,0.001,0.6113490058483251
Direct MC,0.85,3,0.0025,0.6263396309691913
Direct MC,0.85,3,0.005,0.6255586338864418
Direct MC,0.85,3,0.01,0.6229206148670556
Conditioned MC,0.85,3,0.001,0.6209976814496443
Conditioned MC,0.85,3,0.0025,0.6210556862133352
Conditioned MC,0.85,3,0.005,0.6212613566363405
Conditioned MC,0.85,3,0.01,0.621504897254666
Direct MC,0.95,3,0.001,0.8433279331270604
Direct MC,0.95,3,0.0025,0.8342282077587484
Direct MC,0.95,3,0.005,0.8352531771756384
Direct MC,0.95,3,0.01,0.7940657998326746
Conditioned MC,0.95,3,0.001,0.7982311689360344
Conditioned MC,0.95,3,0.0025,0.7981723079536724
Conditioned MC,0.95,3,0.005,0.7979838873771019
Conditioned MC,0.95,3,0.01,0.7972917640868658
Direct MC,0.7,4,0.001,0.5988317565641399
Direct MC,0.7,4,0.0025,0.5986708553855813
Direct MC,0.7,4,0.005,0.5986812835542903
Direct MC,0.7,4,0.01,0.5986083860314011
Conditioned MC,0.7,4,0.001,0.5988719810104648
Conditioned MC,0.7,4,0.0025,0.5986964733606932
Conditioned MC,0.7,4,0.005,0.5987170864073139
Conditioned MC,0.7,4,0.01,0.5986408696947301
Direct MC,0.85,4,0.001,0.603170743741428
Direct MC,0.85,4,0.0025,0.6099685564777495
Direct MC,0.85,4,0.005,0.6211588179769301
Direct MC,0.85,4,0.01,0.6174835495637265
Conditioned MC,0.85,4,0.001,0.618030112864183
Conditioned MC,0.85,4,0.0025,0.6179215429746563
Conditioned MC,0.85,4,0.005,0.6179803534998918
Conditioned MC,0.85,4,0.01,0.6180813124102005
Direct MC,0.95,4,0.001,0.8631971250998882
Direct MC,0.95,4,0.0025,0.8100169578376875
Direct MC,0.95,4,0.005,0.7921151258227868
Direct MC,0.95,4,0.01,0.7934076548890654
Conditioned MC,0.95,4,0.001,0.7967920438197496
Conditioned MC,0.95,4,0.0025,0.7967334889489912
Conditioned MC,0.95,4,0.005,0.7965485297317878
Conditioned MC,0.95,4,0.01,0.79584259485032
Direct MC,0.7,5,0.001,0.5892294565008527
Direct MC,0.7,5,0.0025,0.5892055698316874
Direct MC,0.7,5,0.005,0.5891983146636406
Direct MC,0.7,5,0.01,0.5892214213188005
Conditioned MC,0.7,5,0.001,0.5892418513224396
Conditioned MC,0.7,5,0.0025,0.5892210589958928
Conditioned MC,0.7,5,0.005,0.5892331414848417
Conditioned MC,0.7,5,0.01,0.5892611458965042
Direct MC,0.85,5,0.001,0.6145681609970222
Direct MC,0.85,5,0.0025,0.6119091558658312
Direct MC,0.85,5,0.005,0.6062979218526046
Direct MC,0.85,5,0.01,0.6059791186403602
Conditioned MC,0.85,5,0.001,0.6065050179650022
Conditioned MC,0.85,5,0.0025,0.6063208435056922
Conditioned MC,0.85,5,0.005,0.6063017439683147
Conditioned MC,0.85,5,0.01,0.606435209204927
Direct MC,0.95,5,0.001,0.7983281422634247
Direct MC,0.95,5,0.0025,0.8031056312411611
Direct MC,0.95,5,0.005,0.7766671801382845
Direct MC,0.95,5,0.01,0.7729405412603727
Conditioned MC,0.95,5,0.001,0.7824374421789937
Conditioned MC,0.95,5,0.0025,0.782378103236022
Conditioned MC,0.95,5,0.005,0.7821932442193251
Conditioned MC,0.95,5,0.01,0.7814640272118534
Direct MC,0.7,6,0.001,0.5928346315162258
Direct MC,0.7,6,0.0025,0.5927565750223316
Direct MC,0.7,6,0.005,0.5927445094277566
Direct MC,0.7,6,0.01,0.5927902228472499
Conditioned MC,0.7,6,0.001,0.5929704244685308
Conditioned MC,0.7,6,0.0025,0.5928544845522694
Conditioned MC,0.7,6,0.005,0.5928313088015038
Conditioned MC,0.7,6,0.01,0.5928443438646154
Direct MC,0.85,6,0.001,0.6018878407238581
Direct MC,0.85,6,0.0025,0.6166015695867308
Direct MC,0.85,6,0.005,0.614005576531321
Direct MC,0.85,6,0.01,0.6164822334518267
Conditioned MC,0.85,6,0.001,0.6136967692291595
Conditioned MC,0.85,6,0.0025,0.6138420801818434
Conditioned MC,0.85,6,0.005,0.6137840250797613
Conditioned MC,0.85,6,0.01,0.6137376928282188
Direct MC,0.95,6,0.001,0.7161777767092614
Direct MC,0.95,6,0.0025,0.7883963083158623
Direct MC,0.95,6,0.005,0.7789667943579666
Direct MC,0.95,6,0.01,0.8053193559728662
Conditioned MC,0.95,6,0.001,0.7889110301823044
Conditioned MC,0.95,6,0.0025,0.7888675189770922
Conditioned MC,0.95,6,0.005,0.7886711360805974
Conditioned MC,0.95,6,0.01,0.7879473204653733
Direct MC,0.7,7,0.001,0.5911669829964517
Direct MC,0.7,7,0.0025,0.5911722164209046
Direct MC,0.7,7,0.005,0.5910637772241589
Direct MC,0.7,7,0.01,0.5912214739355006
Conditioned MC,0.7,7,0.001,0.5910921007919612
Conditioned MC,0.7,7,0.0025,0.5911255927363221
Conditioned MC,0.7,7,0.005,0.59105238935045
Conditioned MC,0.7,7,0.01,0.5912269110573636
Direct MC,0.85,7,0.001,0.6100591336543992
Direct MC,0.85,7,0.0025,0.6069429267345967
Direct MC,0.85,7,0.005,0.6138024475768589
Direct MC,0.85,7,0.01,0.6103005275312805
Conditioned MC,0.85,7,0.001,0.6126686623623545
Conditioned MC,0.85,7,0.0025,0.6126162446521839
Conditioned MC,0.85,7,0.005,0.61257191168019
Conditioned MC,0.85,7,0.01,0.612708484084536
Direct MC,0.95,7,0.001,0.7321246371810952
Direct MC,0.95,7,0.0025,0.817229622850288
Direct MC,0.95,7,0.005,0.8126791272130065
Direct MC,0.95,7,0.01,0.79609387668263
Conditioned MC,0.95,7,0.001,0.7938157663363166
Conditioned MC,0.95,7,0.0025,0.7937695210839344
Conditioned MC,0.95,7,0.005,0.7936033075907538
Conditioned MC,0.95,7,0.01,0.7928970707909908
Direct MC,0.7,8,0.001,0.5962746831101651
Direct MC,0.7,8,0.0025,0.5962724779664583
Direct MC,0.7,8,0.005,0.5960773240196726
Direct MC,0.7,8,0.01,0.5956489817275346
Conditioned MC,0.7,8,0.001,0.5962103120812134
Conditioned MC,0.7,8,0.0025,0.5962339635731091
Conditioned MC,0.7,8,0.005,0.5959855863052752
Conditioned MC,0.7,8,0.01,0.595588402099966
Direct MC,0.85,8,0.001,0.6300449049784085
Direct MC,0.85,8,0.0025,0.6156324971521236
Direct MC,0.85,8,0.005,0.609533086722795
Direct MC,0.85,8,0.01,0.6087134543006361
Conditioned MC,0.85,8,0.001,0.6143160868077846
Conditioned MC,0.85,8,0.0025,0.6142370448485579
Conditioned MC,0.85,8,0.005,0.6143005215469532
Conditioned MC,0.85,8,0.01,0.6143739089767037
Direct MC,0.95,8,0.001,0.8713135074314238
Direct MC,0.95,8,0.0025,0.7819613536251921
Direct MC,0.95,8,0.005,0.7930733678537081
Direct MC,0.95,8,0.01,0.7904730373196203
Conditioned MC,0.95,8,0.001,0.793293594825375
Conditioned MC,0.95,8,0.0025,0.793252415214365
Conditioned MC,0.95,8,0.005,0.7930778658279776
Conditioned MC,0.95,8,0.01,0.7923436710723726
Direct MC,0.7,9,0.001,0.5913097377750098
Direct MC,0.7,9,0.0025,0.5911384647898039
Direct MC,0.7,9,0.005,0.5912741766718383
Direct MC,0.7,9,0.01,0.5914155486851911
Conditioned MC,0.7,9,0.001,0.591375836203154
Conditioned MC,0.7,9,0.0025,0.5912134011959687
Conditioned MC,0.7,9,0.005,0.5913283732056343
Conditioned MC,0.7,9,0.01,0.5914351990683095
Direct MC,0.85,9,0.001,0.5906444134875954
Direct MC,0.85,9,0.0025,0.6100866324836609
Direct MC,0.85,9,0.005,0.6113147101282728
Direct MC,0.85,9,0.01,0.610760676820028
Conditioned MC,0.85,9,0.001,0.6103842614982291
Conditioned MC,0.85,9,0.0025,0.6103442371867622
Conditioned MC,0.85,9,0.005,0.6104707069821682
