Method,Barrier ratio,Spot bump,Mean_Delta,Replication_SD,MAD,P05,P95
Conditioned MC,0.7,0.001,0.5956289206691704,0.00430932969982822,0.002431791157238017,0.5895193887428678,0.6015267161994826
Conditioned MC,0.7,0.0025,0.595583430445643,0.004299479345657333,0.0023934208880067587,0.5895067390569573,0.6016280528928404
Conditioned MC,0.7,0.005,0.595559287493464,0.004312175955580411,0.0023411729636855227,0.5895060286646829,0.6017263348036019
Conditioned MC,0.7,0.01,0.595519051961064,0.00425462262129364,0.002523574994608868,0.5895560106706331,0.6012585065619994
Conditioned MC,0.85,0.001,0.6153899371200481,0.0047185688731323444,0.0025712930957455526,0.6091762143520056,0.6215234710985031
Conditioned MC,0.85,0.0025,0.6153705329287096,0.004744556724827094,0.002671344314910229,0.6091761370643324,0.621575425249169
Conditioned MC,0.85,0.005,0.6153606132818342,0.004735805284752339,0.002754113518825818,0.60919624071576,0.6215829184557122
Conditioned MC,0.85,0.01,0.6153821815306867,0.004726952932562079,0.0028096491724494133,0.6092322068663331,0.6216331581091384
Conditioned MC,0.95,0.001,0.795458962500189,0.008113330324336965,0.003969143879030135,0.782824452024431,0.805923567339087
Conditioned MC,0.95,0.0025,0.795408454748831,0.008114884533082867,0.0039504987810481396,0.7827679512783786,0.8058881321469962
Conditioned MC,0.95,0.005,0.7952324903238991,0.00811212799133377,0.003949356028152273,0.7825835203671848,0.8057109222021004
Conditioned MC,0.95,0.01,0.7945290441725316,0.008095296220702184,0.003943888470599788,0.7818605141991585,0.8049786387992715
Conditioned RQMC,0.7,0.001,0.5950223478781647,0.001903948356815246,0.0010058567407433827,0.5916073050964625,0.5978712013992977
Conditioned RQMC,0.7,0.0025,0.5950037329757912,0.0018942522244356193,0.001058824381805934,0.5916460821000943,0.5979301643879833
Conditioned RQMC,0.7,0.005,0.5949892134232062,0.001833853138564257,0.0010773176405161067,0.5919186526529158,0.5976675674131043
Conditioned RQMC,0.7,0.01,0.5949523356510643,0.001727675893220187,0.0009745354515535709,0.5920918777698274,0.5971099389802975
Conditioned RQMC,0.85,0.001,0.6144910862468774,0.0017076295829133066,0.001087890350706111,0.6113225594571348,0.6163099846852691
Conditioned RQMC,0.85,0.0025,0.6144981931007778,0.0016903021886028769,0.0011274851741003289,0.6113395372970085,0.616177303964624
Conditioned RQMC,0.85,0.005,0.6144980890151821,0.0016645929640277295,0.001068578276150589,0.611446293890779,0.6161879487892155
Conditioned RQMC,0.85,0.01,0.6144890438301089,0.0015775696083995326,0.0009109414973245133,0.6115665077637329,0.6161822446400558
Conditioned RQMC,0.95,0.001,0.7940041115150992,0.0007621280378893129,0.0005252819330703318,0.792804238150892,0.7949682466677317
Conditioned RQMC,0.95,0.0025,0.7939546668008012,0.0007606685291319078,0.0005271464930620695,0.7927616898940382,0.7949229509291094
Conditioned RQMC,0.95,0.005,0.7937766616593928,0.0007587412602183309,0.0005204096013566861,0.7925877410067187,0.7947494177236102
Conditioned RQMC,0.95,0.01,0.7930758263192254,0.0007548851333435764,0.0005233505751416345,0.7918950191641987,0.7940404871807782
Direct MC,0.7,0.001,0.5957860812717083,0.004394863740041058,0.002597027389037443,0.5895200854751925,0.6015601604386842
Direct MC,0.7,0.0025,0.5956339997108006,0.004320055461357395,0.0023857904050377243,0.5894955040754049,0.6016351405615838
Direct MC,0.7,0.005,0.5955890342687121,0.004321251144048548,0.00238482659456718,0.5894781340477183,0.6017101432431606
Direct MC,0.7,0.01,0.5955305940768809,0.004259487669716122,0.002594664255294088,0.5895214292113056,0.6012390496612839
Direct MC,0.85,0.001,0.613048353757103,0.010928121140553738,0.004793151802751083,0.5923309275730348,0.6295057433221953
Direct MC,0.85,0.0025,0.6153836590081195,0.007526532215615663,0.004642200285793763,0.6056434666521533,0.6287764783417321
Direct MC,0.85,0.005,0.614903505496777,0.007764049832749997,0.003765281398044884,0.6063244395237224,0.6293465934431297
Direct MC,0.85,0.01,0.6150402089175291,0.005944086434240647,0.0031307326533736024,0.6060621140591318,0.6241592800191839
Direct MC,0.95,0.001,0.8087329255453749,0.05977857905138778,0.038226642287990664,0.7185698057800365,0.8913998513917893
Direct MC,0.95,0.0025,0.8043419522313674,0.020087740902276094,0.017575972230271297,0.7806272093277525,0.8333123060991011
Direct MC,0.95,0.005,0.7991793311347486,0.01869765858497155,0.013266899938266796,0.7728288729804207,0.8314666139556809
Direct MC,0.95,0.01,0.7944535102081657,0.01270341376866716,0.008044856067452422,0.7735299936386731,0.8111176563936391
Direct RQMC,0.7,0.001,0.594993070873863,0.0018972104167504944,0.0010646701336725073,0.5915721138906447,0.5978376157525349
Direct RQMC,0.7,0.0025,0.5949760511660059,0.0018882846695244876,0.0010645776131230633,0.5916153357265242,0.5978868231954003
Direct RQMC,0.7,0.005,0.5949690880533519,0.0018402645235940276,0.0010510787275652689,0.5918778420672017,0.5977282200045637
Direct RQMC,0.7,0.01,0.5949319256789348,0.0017357577742722911,0.0009566376462917248,0.5920844779670875,0.5971478240969363
Direct RQMC,0.85,0.001,0.6100367317090594,0.01162093605585026,0.007655606225589473,0.5962465254635423,0.6303775744094544
Direct RQMC,0.85,0.0025,0.6128828974829049,0.007720826705345375,0.004372316667529574,0.6031378817849614,0.6235642580434979
Direct RQMC,0.85,0.005,0.6147938038711074,0.005591666183727207,0.003594909944545144,0.6064967116745468,0.6218373667037198
Direct RQMC,0.85,0.01,0.6142239633424295,0.004122877694028835,0.0029464165120753893,0.6079424808648498,0.6208624947226172
Direct RQMC,0.95,0.001,0.7901854426729233,0.04292739931337077,0.02543430959684123,0.7268605088940339,0.8515332671840838
Direct RQMC,0.95,0.0025,0.7964191500867236,0.031279397603764574,0.02066465309355703,0.7567020334153893,0.8426231992195673
Direct RQMC,0.95,0.005,0.794738361819103,0.0181314975712334,0.011077871218875046,0.7634522487978419,0.8136409957209931
Direct RQMC,0.95,0.01,0.7948782922549378,0.01033749259869512,0.00706641154921317,0.7804743288362217,0.8132719726555381
