Method,Barrier ratio,Replication,Spot bump,Gamma
Direct MC,0.7,0,0.001,0.01751330187609312
Direct MC,0.7,0,0.0025,0.01837904824543557
Direct MC,0.7,0,0.005,0.018459692637243563
Direct MC,0.7,0,0.01,0.018505797353121523
Conditioned MC,0.7,0,0.001,0.01763948557549355
Conditioned MC,0.7,0,0.0025,0.018415834389884367
Conditioned MC,0.7,0,0.005,0.018423555986387896
Conditioned MC,0.7,0,0.01,0.018482660236717408
Direct MC,0.85,0,0.001,0.23357530162524393
Direct MC,0.85,0,0.0025,0.017036357760360943
Direct MC,0.85,0,0.005,0.029904849731472893
Direct MC,0.85,0,0.01,0.02434000418362281
Conditioned MC,0.85,0,0.001,0.019656199240891677
Conditioned MC,0.85,0,0.0025,0.017900677209468085
Conditioned MC,0.85,0,0.005,0.01664267291696575
Conditioned MC,0.85,0,0.01,0.015872055756034342
Direct MC,0.95,0,0.001,0.5890750323579218
Direct MC,0.95,0,0.0025,0.39016651532998026
Direct MC,0.95,0,0.005,-0.0796868839198055
Direct MC,0.95,0,0.01,-0.017679277412592675
Conditioned MC,0.95,0,0.001,0.014742610102569383
Conditioned MC,0.95,0,0.0025,0.014672004632743096
Conditioned MC,0.95,0,0.005,0.01473643577849515
Conditioned MC,0.95,0,0.01,0.014868038127497485
Direct MC,0.7,1,0.001,0.10528800806390846
Direct MC,0.7,1,0.0025,0.03394055891837411
Direct MC,0.7,1,0.005,0.024036734732284515
Direct MC,0.7,1,0.01,0.021837958157030712
Conditioned MC,0.7,1,0.001,0.021481135549805682
Conditioned MC,0.7,1,0.0025,0.020467093007738413
Conditioned MC,0.7,1,0.005,0.020577729662399236
Conditioned MC,0.7,1,0.01,0.02091733010408703
Direct MC,0.85,1,0.001,-0.06403763323241661
Direct MC,0.85,1,0.0025,-0.045377517319877825
Direct MC,0.85,1,0.005,-0.0270233432711251
Direct MC,0.85,1,0.01,0.000838184698976896
Conditioned MC,0.85,1,0.001,0.01895452330398228
Conditioned MC,0.85,1,0.0025,0.018610390924294506
Conditioned MC,0.85,1,0.005,0.018016707415505095
Conditioned MC,0.85,1,0.01,0.01807697661666996
Direct MC,0.95,1,0.001,0.27281824487976886
Direct MC,0.95,1,0.0025,-0.10254325747102655
Direct MC,0.95,1,0.005,-0.037148603938234714
Direct MC,0.95,1,0.01,-0.04022347196162457
Conditioned MC,0.95,1,0.001,0.015072167757868012
Conditioned MC,0.95,1,0.0025,0.014768860335564682
Conditioned MC,0.95,1,0.005,0.01480143022291358
Conditioned MC,0.95,1,0.01,0.014840556990184162
Direct MC,0.7,2,0.001,0.018373381291070242
Direct MC,0.7,2,0.0025,0.018442965885583362
Direct MC,0.7,2,0.005,0.019368389530775687
Direct MC,0.7,2,0.01,0.020194985430848078
Conditioned MC,0.7,2,0.001,0.017449364667321273
Conditioned MC,0.7,2,0.0025,0.018354761082292725
Conditioned MC,0.7,2,0.005,0.01931848919930701
Conditioned MC,0.7,2,0.01,0.020189206057024123
Direct MC,0.85,2,0.001,0.208351701898124
Direct MC,0.85,2,0.0025,0.1390530832719037
Direct MC,0.85,2,0.005,0.043376833963414185
Direct MC,0.85,2,0.01,0.027467472018187777
Conditioned MC,0.85,2,0.001,0.015680312648491675
Conditioned MC,0.85,2,0.0025,0.016517198153536583
Conditioned MC,0.85,2,0.005,0.016586969534735374
Conditioned MC,0.85,2,0.01,0.01721238732628727
Direct MC,0.95,2,0.001,0.362019017970816
Direct MC,0.95,2,0.0025,-0.011860658554041947
Direct MC,0.95,2,0.005,0.1055095101452892
Direct MC,0.95,2,0.01,0.07196601797712887
Conditioned MC,0.95,2,0.001,0.014190673900582592
Conditioned MC,0.95,2,0.0025,0.014249854464722489
Conditioned MC,0.95,2,0.005,0.014295869395766658
Conditioned MC,0.95,2,0.01,0.014417462636173717
Direct MC,0.7,3,0.001,0.024425136327543836
Direct MC,0.7,3,0.0025,0.02293235015812911
Direct MC,0.7,3,0.005,0.022567388052841864
Direct MC,0.7,3,0.01,0.021366653022601767
Conditioned MC,0.7,3,0.001,0.024647118755183325
Conditioned MC,0.7,3,0.0025,0.02297885777605302
Conditioned MC,0.7,3,0.005,0.02254423545149109
Conditioned MC,0.7,3,0.01,0.021334134241620006
Direct MC,0.85,3,0.001,-0.06729917745502688
Direct MC,0.85,3,0.0025,0.11038912968427894
Direct MC,0.85,3,0.005,0.06373462324822299
Direct MC,0.85,3,0.01,0.03413100622120169
Conditioned MC,0.85,3,0.001,0.019479809702005465
Conditioned MC,0.85,3,0.0025,0.018851856750217166
Conditioned MC,0.85,3,0.005,0.018333975854737616
Conditioned MC,0.85,3,0.01,0.018116185828707998
Direct MC,0.95,3,0.001,-0.2330339458959329
Direct MC,0.95,3,0.0025,0.061349302082533086
Direct MC,0.95,3,0.005,0.0874921027320461
Direct MC,0.95,3,0.01,0.06216986488443155
Conditioned MC,0.95,3,0.001,0.015537957398947807
Conditioned MC,0.95,3,0.0025,0.015317206665955041
Conditioned MC,0.95,3,0.005,0.015202796325397117
Conditioned MC,0.95,3,0.01,0.015200220368252637
Direct MC,0.7,4,0.001,0.018299527137166646
Direct MC,0.7,4,0.0025,0.020121233816865924
Direct MC,0.7,4,0.005,0.02099240590582241
Direct MC,0.7,4,0.01,0.020643869214385546
Conditioned MC,0.7,4,0.001,0.018556186908824653
Conditioned MC,0.7,4,0.0025,0.020102167774979307
Conditioned MC,0.7,4,0.005,0.020949716698147824
Conditioned MC,0.7,4,0.01,0.02061251172438361
Direct MC,0.85,4,0.001,-0.036532292896573886
Direct MC,0.85,4,0.0025,-0.06601288860369436
Direct MC,0.85,4,0.005,0.009737137198911228
Direct MC,0.85,4,0.01,0.01449606617716892
Conditioned MC,0.85,4,0.001,0.02076475516474829
Conditioned MC,0.85,4,0.0025,0.018799319153970373
Conditioned MC,0.85,4,0.005,0.018007744979428253
Conditioned MC,0.85,4,0.01,0.017845219515071342
Direct MC,0.95,4,0.001,-2.004849369657346
Direct MC,0.95,4,0.0025,0.05625241145965276
Direct MC,0.95,4,0.005,0.04391454502456682
Direct MC,0.95,4,0.01,0.0746789917409485
Conditioned MC,0.95,4,0.001,0.01447035319355194
Conditioned MC,0.95,4,0.0025,0.01446036076399082
Conditioned MC,0.95,4,0.005,0.014551463721144131
Conditioned MC,0.95,4,0.01,0.014709842138919349
Direct MC,0.7,5,0.001,0.018686868098072292
Direct MC,0.7,5,0.0025,0.020353095903800522
Direct MC,0.7,5,0.005,0.021636048248197426
Direct MC,0.7,5,0.01,0.021306091346961153
Conditioned MC,0.7,5,0.001,0.01948661488331282
Conditioned MC,0.7,5,0.0025,0.02071308881707523
Conditioned MC,0.7,5,0.005,0.02171059315123358
Conditioned MC,0.7,5,0.01,0.021332400131608864
Direct MC,0.85,5,0.001,0.4484237729181827
Direct MC,0.85,5,0.0025,0.0989308009029628
Direct MC,0.85,5,0.005,0.04295155886302382
Direct MC,0.85,5,0.01,0.01874932011882713
Conditioned MC,0.85,5,0.001,0.01993760908902686
Conditioned MC,0.85,5,0.0025,0.01851190606612363
Conditioned MC,0.85,5,0.005,0.01820708208142463
Conditioned MC,0.85,5,0.01,0.01819410989262149
Direct MC,0.95,5,0.001,0.7273098078868222
Direct MC,0.95,5,0.0025,-0.233891894545323
Direct MC,0.95,5,0.005,-0.0526038400032931
Direct MC,0.95,5,0.01,0.004583668712216493
Conditioned MC,0.95,5,0.001,0.015375428743347182
Conditioned MC,0.95,5,0.0025,0.015699015331691157
Conditioned MC,0.95,5,0.005,0.015771010033475363
Conditioned MC,0.95,5,0.01,0.015864514636493077
Direct MC,0.7,6,0.001,0.01832389786962096
Direct MC,0.7,6,0.0025,0.019632368428489144
Direct MC,0.7,6,0.005,0.02057840441639769
Direct MC,0.7,6,0.01,0.02033012995904393
Conditioned MC,0.7,6,0.001,0.018270899917105506
Conditioned MC,0.7,6,0.0025,0.019409474354461054
Conditioned MC,0.7,6,0.005,0.020554236544143123
Conditioned MC,0.7,6,0.01,0.02034514520815911
Direct MC,0.85,6,0.001,-0.10535886977045548
Direct MC,0.85,6,0.0025,0.0044731241563624735
Direct MC,0.85,6,0.005,0.034220135241248784
Direct MC,0.85,6,0.01,0.02640153855056493
Conditioned MC,0.85,6,0.001,0.018816480516470332
Conditioned MC,0.85,6,0.0025,0.017720665368443633
Conditioned MC,0.85,6,0.005,0.01787092012313707
Conditioned MC,0.85,6,0.01,0.017744857691933014
Direct MC,0.95,6,0.001,1.5483491297650251
Direct MC,0.95,6,0.0025,0.48213056390518716
Direct MC,0.95,6,0.005,0.10719845699296116
Direct MC,0.95,6,0.01,-0.004067334728679484
Conditioned MC,0.95,6,0.001,0.01521724499076171
Conditioned MC,0.95,6,0.0025,0.015035609197809663
Conditioned MC,0.95,6,0.005,0.015112658758877018
Conditioned MC,0.95,6,0.01,0.015190054242584239
Direct MC,0.7,7,0.001,0.01946514030635171
Direct MC,0.7,7,0.0025,0.022504334339458865
Direct MC,0.7,7,0.005,0.02307798930821292
Direct MC,0.7,7,0.01,0.022669760267364225
Conditioned MC,0.7,7,0.001,0.01975015192527962
Conditioned MC,0.7,7,0.0025,0.022753079858858882
Conditioned MC,0.7,7,0.005,0.023208250544108466
Conditioned MC,0.7,7,0.01,0.022743858891196567
Direct MC,0.85,7,0.001,-0.035627524199455245
Direct MC,0.85,7,0.0025,0.0004094429901329022
Direct MC,0.85,7,0.005,-0.01123137300767496
Direct MC,0.85,7,0.01,0.013195276378047183
Conditioned MC,0.85,7,0.001,0.01757460018279033
Conditioned MC,0.85,7,0.0025,0.019235924330899934
Conditioned MC,0.85,7,0.005,0.01972574976291952
Conditioned MC,0.85,7,0.01,0.019014067987611405
Direct MC,0.95,7,0.001,0.5739477468563513
Direct MC,0.95,7,0.0025,-0.20167848437367297
Direct MC,0.95,7,0.005,-0.08484289277673085
Direct MC,0.95,7,0.01,0.020399654420473645
Conditioned MC,0.95,7,0.001,0.014003925610506226
Conditioned MC,0.95,7,0.0025,0.014140142004322342
Conditioned MC,0.95,7,0.005,0.014183666129042649
Conditioned MC,0.95,7,0.01,0.01426516102613995
Direct MC,0.7,8,0.001,0.018815389730342243
Direct MC,0.7,8,0.0025,0.018065691289393726
Direct MC,0.7,8,0.005,0.0176405419575687
Direct MC,0.7,8,0.01,0.01931300028399896
Conditioned MC,0.7,8,0.001,0.019442964415539162
Conditioned MC,0.7,8,0.0025,0.018282678268036534
Conditioned MC,0.7,8,0.005,0.01802511686351238
Conditioned MC,0.7,8,0.01,0.019410717930513854
Direct MC,0.85,8,0.001,0.7103216487390539
Direct MC,0.85,8,0.0025,0.1020883009434499
Direct MC,0.85,8,0.005,0.06231141084221292
Direct MC,0.85,8,0.01,0.031522128951426254
Conditioned MC,0.85,8,0.001,0.01544650325673302
Conditioned MC,0.85,8,0.0025,0.015301701414728086
Conditioned MC,0.85,8,0.005,0.01620496257337578
