Method,Barrier ratio,Spot bump,Mean_Gamma,Replication_SD,MAD,P05,P95
Conditioned MC,0.7,0.001,0.02045426808335489,0.003031458692218484,0.0019208249871560668,0.01657845548550085,0.02464410351632473
Conditioned MC,0.7,0.0025,0.020550449044545616,0.0020096734107508275,0.0015924612470854527,0.01829349069017496,0.023261676732684578
Conditioned MC,0.7,0.005,0.020738993808436728,0.0015167451025465452,0.0011923681134504704,0.01846380254693507,0.023115021733170593
Conditioned MC,0.7,0.01,0.020750734446120706,0.0010543517608071872,0.0006156366598872864,0.019068312505464657,0.022327461840197047
Conditioned MC,0.85,0.001,0.017940615071728352,0.0020253437875411852,0.001389040304289324,0.014788229973525798,0.02067981587842382
Conditioned MC,0.85,0.0025,0.018147257594973116,0.0013360575859501247,0.0009296138472763005,0.016216242781416666,0.020324779460666773
Conditioned MC,0.85,0.005,0.018019767954878436,0.0010571342697914283,0.000618090472247701,0.016417857751878272,0.01973123161707413
Conditioned MC,0.85,0.01,0.0179495728656854,0.0008083384825305164,0.00035417776922130884,0.016856560748584038,0.019043590308180612
Conditioned MC,0.95,0.001,0.014316960786608933,0.0007871635728372115,0.0005859083841208701,0.013060773254753853,0.01543776866214763
Conditioned MC,0.95,0.0025,0.014314919896881642,0.0007358354992623724,0.000534980461409873,0.013165806969068683,0.015515502744931098
Conditioned MC,0.95,0.005,0.014354009559601533,0.0007267820995579348,0.0004741608038738576,0.013276321205720087,0.01558965978466773
Conditioned MC,0.95,0.01,0.014474754506661617,0.0007020726987083056,0.00046244660822214456,0.013464327731883063,0.01571740244709727
Conditioned RQMC,0.7,0.001,0.021619550170193232,0.0029183911852199277,0.0012324670064067789,0.017509003576332557,0.026285425910170798
Conditioned RQMC,0.7,0.0025,0.021411836579118198,0.0015486089026643223,0.0012125377901810452,0.01918312183954498,0.023918456175559297
Conditioned RQMC,0.7,0.005,0.02131273217619878,0.0012775717149273345,0.0012482843814254352,0.019343914041530397,0.022981283301478684
Conditioned RQMC,0.7,0.01,0.021216832315044343,0.0009478165241950168,0.0008914330117830715,0.019914453639866457,0.022439837277275654
Conditioned RQMC,0.85,0.001,0.018345369866949266,0.0015842786237714771,0.0008554525093629195,0.015903289782563942,0.020993682182446342
Conditioned RQMC,0.85,0.0025,0.01804975418246239,0.0009848927715034996,0.0006667961855697513,0.016348827138089918,0.019564500515400596
Conditioned RQMC,0.85,0.005,0.018001567847409916,0.0008157589765211503,0.0007291572186574058,0.01666384519841273,0.019058702842415443
Conditioned RQMC,0.85,0.01,0.01799207826305793,0.0005477657107116633,0.0002490366360667906,0.016993307975718387,0.018777833689396718
Conditioned RQMC,0.95,0.001,0.014371615914928373,0.00033491328438503066,0.00023617250017871072,0.01399718103859637,0.01501764174006492
Conditioned RQMC,0.95,0.0025,0.0143723996591311,0.00026910301226207246,0.00013784970239072436,0.014043267468643705,0.014918630435627023
Conditioned RQMC,0.95,0.005,0.014389854868020802,0.00024185557693166663,9.438560939400986e-05,0.014059085289813034,0.014903688827858553
Conditioned RQMC,0.95,0.01,0.014505239571869555,0.0002206766103139438,8.303858823932586e-05,0.014163208671694561,0.014940511095671249
Direct MC,0.7,0.001,0.023956376596630705,0.01759387620131222,0.0016420331015787326,0.016742242444776064,0.02747991867163789
Direct MC,0.7,0.0025,0.021118532580567024,0.0033888564651004633,0.0018261577948237573,0.018111488002213606,0.02496132904655752
Direct MC,0.7,0.005,0.02089406035810537,0.0017071145837441245,0.001276472569703202,0.01849041723851208,0.023407447118396974
Direct MC,0.7,0.01,0.02079070385246991,0.0010841609152017087,0.0006620320911503441,0.019065726060544998,0.022299907006698927
Direct MC,0.85,0.001,0.041549896967792606,0.2666020503531347,0.13127627258811,-0.3028047737957084,0.5845609283954629
Direct MC,0.85,0.0025,0.028542089081044015,0.07243955993263929,0.05285526205705082,-0.08184055786432651,0.1358807395025195
Direct MC,0.85,0.005,0.024124752281613482,0.02717191145959012,0.014424485836514123,-0.011936485633536975,0.06352114138732147
Direct MC,0.85,0.01,0.019019217247663905,0.00904130755684446,0.005984625322144055,0.005780395449663267,0.033739674630735364
Direct MC,0.95,0.001,0.37409459292826824,0.8925687436577011,0.4379411421219891,-0.9664585337298746,1.55563997494478
Direct MC,0.95,0.0025,0.12026341658754565,0.2647787077312466,0.13121092934217415,-0.19308889080001562,0.619335590536491
Direct MC,0.95,0.005,0.04596643430345093,0.10694377901834737,0.0700479713676696,-0.07849187679642763,0.2832404892025561
Direct MC,0.95,0.01,0.026633308733422473,0.03974799832375032,0.030077979813378786,-0.02101544915532969,0.0879315636712972
