Monitoring steps,Sample size,Replication,Estimate
12,1024,0,6.615009460503629
12,1024,1,6.621984026524678
12,1024,2,6.609471007761349
12,1024,3,6.535877031494732
12,1024,4,6.672627844617356
12,1024,5,6.5736586248170354
12,1024,6,6.605958286259526
12,1024,7,6.619322672940577
12,4096,0,6.628104087969726
12,4096,1,6.618457715628738
12,4096,2,6.626892889106756
12,4096,3,6.6131779479523
12,4096,4,6.615536870462842
12,4096,5,6.611873042005366
12,4096,6,6.623523836135833
12,4096,7,6.608877492766118
12,16384,0,6.628538561782225
12,16384,1,6.621511068002555
12,16384,2,6.623440979390196
12,16384,3,6.623163948109168
12,16384,4,6.623952802767677
12,16384,5,6.632118575805211
12,16384,6,6.622211258408192
12,16384,7,6.623223404148847
52,1024,0,5.750422783755521
52,1024,1,5.826491574510478
52,1024,2,5.7458602856719905
52,1024,3,5.750125034570379
52,1024,4,5.882978213251478
52,1024,5,5.927358737021049
52,1024,6,6.006194901842115
52,1024,7,5.83786106635389
52,4096,0,5.793617980357034
52,4096,1,5.758462152564373
52,4096,2,5.907292076427139
52,4096,3,5.8600462153294375
52,4096,4,5.766942795472047
52,4096,5,5.827673157899994
52,4096,6,5.818803891412608
52,4096,7,5.800934619196797
52,16384,0,5.848711746812761
52,16384,1,5.84021247582737
52,16384,2,5.811333329742478
52,16384,3,5.82059253778114
52,16384,4,5.806221017736869
52,16384,5,5.843935410765896
52,16384,6,5.8064846836039194
52,16384,7,5.824851611034156
252,1024,0,5.482516217286482
252,1024,1,5.598380768089929
252,1024,2,5.037198748136607
252,1024,3,5.430935031991774
252,1024,4,5.305410475894822
252,1024,5,5.441391891915565
252,1024,6,5.281048877840037
252,1024,7,5.4501153441639225
252,4096,0,5.504048605411698
252,4096,1,5.400558318848626
252,4096,2,5.353108019347385
252,4096,3,5.418993624273244
252,4096,4,5.378041061188473
252,4096,5,5.377067158927829
252,4096,6,5.490051108948401
252,4096,7,5.375732063961999
252,16384,0,5.314428091813142
252,16384,1,5.353002055218025
252,16384,2,5.346846682901992
252,16384,3,5.43459686292564
252,16384,4,5.339976742866024
252,16384,5,5.344280326017708
252,16384,6,5.339575429777173
252,16384,7,5.382864237761055
