Method,Sampling,Treatment,Barrier ratio,Replication,Seed / scramble,Price,Runtime seconds
Direct MC,MC,Direct,0.7,0,20260729,8.755884791358353,0.08053629996720701
Conditioned MC,MC,Conditioned,0.7,0,20260729,8.755965824887618,0.6211642000125721
Direct MC,MC,Direct,0.85,0,20260729,8.639183058571687,0.07693650003056973
Conditioned MC,MC,Conditioned,0.85,0,20260729,8.629011749136737,0.6270318999886513
Direct MC,MC,Direct,0.95,0,20260729,6.645089128143963,0.08595460001379251
Conditioned MC,MC,Conditioned,0.95,0,20260729,6.651542733037929,0.5883874000282958
Direct MC,MC,Direct,0.7,1,20260730,8.680133180075936,0.07485949998954311
Conditioned MC,MC,Conditioned,0.7,1,20260730,8.680725246375108,0.5776900000055321
Direct MC,MC,Direct,0.85,1,20260730,8.56252172487914,0.08372649998636916
Conditioned MC,MC,Conditioned,0.85,1,20260730,8.564461284995977,0.5402251999475993
Direct MC,MC,Direct,0.95,1,20260730,6.691216986606933,0.07073199999285862
Conditioned MC,MC,Conditioned,0.95,1,20260730,6.644181550950616,0.5198635999695398
Direct MC,MC,Direct,0.7,2,20260731,8.66599568815436,0.07162569998763502
Conditioned MC,MC,Conditioned,0.7,2,20260731,8.666082712391765,0.5532772999722511
Direct MC,MC,Direct,0.85,2,20260731,8.537945660663786,0.07565100002102554
Conditioned MC,MC,Conditioned,0.85,2,20260731,8.542855768798335,0.533419799990952
Direct MC,MC,Direct,0.95,2,20260731,6.594115056449477,0.07932060002349317
Conditioned MC,MC,Conditioned,0.95,2,20260731,6.614338303443053,0.5091797999921255
Direct MC,MC,Direct,0.7,3,20260732,8.771871803903275,0.0686178999603726
Conditioned MC,MC,Conditioned,0.7,3,20260732,8.771750989701353,0.5411439000163227
Direct MC,MC,Direct,0.85,3,20260732,8.64081112437594,0.07111319998512045
Conditioned MC,MC,Conditioned,0.85,3,20260732,8.635314284790386,0.534991100023035
Direct MC,MC,Direct,0.95,3,20260732,6.6061877957056785,0.0721870000124909
Conditioned MC,MC,Conditioned,0.95,3,20260732,6.6554984958280805,0.5141934000421315
Direct MC,MC,Direct,0.7,4,20260733,8.704147741278529,0.07315940002445132
Conditioned MC,MC,Conditioned,0.7,4,20260733,8.704043695590743,0.5448321000440046
Direct MC,MC,Direct,0.85,4,20260733,8.593971223207438,0.08157759997993708
Conditioned MC,MC,Conditioned,0.85,4,20260733,8.580411539688425,0.5445374000119045
Direct MC,MC,Direct,0.95,4,20260733,6.626458649552611,0.07412999996449798
Conditioned MC,MC,Conditioned,0.95,4,20260733,6.641792508707727,0.533136599988211
Direct MC,MC,Direct,0.7,5,20260734,8.522918597710508,0.077201200008858
Conditioned MC,MC,Conditioned,0.7,5,20260734,8.522752936691623,0.555818900000304
Direct MC,MC,Direct,0.85,5,20260734,8.376454148771568,0.07603060000110418
Conditioned MC,MC,Conditioned,0.85,5,20260734,8.396229512053011,0.5290993999806233
Direct MC,MC,Direct,0.95,5,20260734,6.52072461321943,0.07805170002393425
Conditioned MC,MC,Conditioned,0.95,5,20260734,6.482066281428533,0.5308736999868415
Direct MC,MC,Direct,0.7,6,20260735,8.623338311957246,0.07557479996467009
Conditioned MC,MC,Conditioned,0.7,6,20260735,8.623105925202566,0.5531195999938063
Direct MC,MC,Direct,0.85,6,20260735,8.486163821679208,0.07931980001740158
Conditioned MC,MC,Conditioned,0.85,6,20260735,8.489623683896586,0.5437472000485286
Direct MC,MC,Direct,0.95,6,20260735,6.527806399550711,0.08050209999782965
Conditioned MC,MC,Conditioned,0.95,6,20260735,6.567051537522128,0.5541815999895334
Direct MC,MC,Direct,0.7,7,20260736,8.71392390789303,0.08057239995105192
Conditioned MC,MC,Conditioned,0.7,7,20260736,8.71386935900111,0.5452100000111386
Direct MC,MC,Direct,0.85,7,20260736,8.596015927257007,0.08450479997554794
Conditioned MC,MC,Conditioned,0.85,7,20260736,8.588250643855536,0.5945352999842726
Direct MC,MC,Direct,0.95,7,20260736,6.612447612073012,0.07198339997557923
Conditioned MC,MC,Conditioned,0.95,7,20260736,6.635773459658809,0.5857888999744318
Direct MC,MC,Direct,0.7,8,20260737,8.658983472914533,0.07749679998960346
Conditioned MC,MC,Conditioned,0.7,8,20260737,8.659045860297166,0.5801285000052303
Direct MC,MC,Direct,0.85,8,20260737,8.5365829232427,0.08549159998074174
Conditioned MC,MC,Conditioned,0.85,8,20260737,8.541394199582783,0.6369120999588631
Direct MC,MC,Direct,0.95,8,20260737,6.6343915913066285,0.07553500001085922
Conditioned MC,MC,Conditioned,0.95,8,20260737,6.610789451573618,0.5483680999604985
Direct MC,MC,Direct,0.7,9,20260738,8.56271921204322,0.08049979998031631
Conditioned MC,MC,Conditioned,0.7,9,20260738,8.562645676173355,0.6148041999549605
Direct MC,MC,Direct,0.85,9,20260738,8.43136323330282,0.08971789997303858
Conditioned MC,MC,Conditioned,0.85,9,20260738,8.437084916115035,0.5746369999833405
Direct MC,MC,Direct,0.95,9,20260738,6.514254091328436,0.07924009999260306
Conditioned MC,MC,Conditioned,0.95,9,20260738,6.545431169162775,0.5656078000320122
Direct MC,MC,Direct,0.7,10,20260739,8.812215143318227,0.07439319998957217
Conditioned MC,MC,Conditioned,0.7,10,20260739,8.812271887513203,0.5731528000324033
Direct MC,MC,Direct,0.85,10,20260739,8.680780032012468,0.08168420003494248
Conditioned MC,MC,Conditioned,0.85,10,20260739,8.688604720864184,0.5726368999457918
Direct MC,MC,Direct,0.95,10,20260739,6.735915244985609,0.07689139997819439
Conditioned MC,MC,Conditioned,0.95,10,20260739,6.730371186749411,0.5622410000069067
Direct MC,MC,Direct,0.7,11,20260740,8.731311657730124,0.075212899944745
Conditioned MC,MC,Conditioned,0.7,11,20260740,8.731160668177475,0.5619763000286184
Direct MC,MC,Direct,0.85,11,20260740,8.61205174120727,0.07362819998525083
Conditioned MC,MC,Conditioned,0.85,11,20260740,8.605097424244711,0.5669433000148274
Direct MC,MC,Direct,0.95,11,20260740,6.7107275393170465,0.07584550004685298
Conditioned MC,MC,Conditioned,0.95,11,20260740,6.6832477233776215,0.5915931999916211
Direct MC,MC,Direct,0.7,12,20260741,8.618654111441462,0.08103320002555847
Conditioned MC,MC,Conditioned,0.7,12,20260741,8.6185716384522,0.5767214999650605
Direct MC,MC,Direct,0.85,12,20260741,8.497889456583211,0.06985609995899722
Conditioned MC,MC,Conditioned,0.85,12,20260741,8.49852729671923,0.5607006999780424
Direct MC,MC,Direct,0.95,12,20260741,6.536043325971191,0.07442030002130195
Conditioned MC,MC,Conditioned,0.95,12,20260741,6.591366292595829,0.5751080000190996
Direct MC,MC,Direct,0.7,13,20260742,8.729984082534326,0.07795259996782988
Conditioned MC,MC,Conditioned,0.7,13,20260742,8.729906570535636,0.5703202000004239
Direct MC,MC,Direct,0.85,13,20260742,8.615270011494058,0.0761695999535732
Conditioned MC,MC,Conditioned,0.85,13,20260742,8.610707440141919,0.5460579000064172
Direct MC,MC,Direct,0.95,13,20260742,6.674762595974547,0.08422339998651296
