Method,Barrier ratio,Mean_price,Replication_SD,Mean_runtime_seconds,Reference_price,Reference_replication_SD,Reference_SE,Continuous_analytic,Discrete_minus_continuous,Bias_vs_reference,RMSE_vs_reference,SE_of_mean
Conditioned MC,0.7,8.70904867825938,0.10551919754884678,0.5731607041695194,8.691357578474411,0.001667615036314048,0.000416903759078512,8.690881763737867,0.00047581473654467743,0.017691099784968856,0.10480146398062055,0.021539016005217675
Conditioned MC,0.85,8.583580120561459,0.10563510626670031,0.5722344583288456,8.566888458673573,0.0010583619219802234,0.00026459048049505584,8.388875902627362,0.1780125560462107,0.01669166188788651,0.1047494069962099,0.021562675773174455
Conditioned MC,0.95,6.6422220940588845,0.07836100609526783,0.5588395583351181,6.627356582529409,0.0006576776336500669,0.00016441940841251674,4.916409594732119,1.71094698779729,0.014865511529475128,0.07813820281687596,0.015995373388710724
Conditioned RQMC,0.7,8.692848953386315,0.01078070727188271,0.5877407291676112,8.691357578474411,0.001667615036314048,0.000416903759078512,8.690881763737867,0.00047581473654467743,0.0014913749119038755,0.010658573842520391,0.0022006026568687264
Conditioned RQMC,0.85,8.567956661903887,0.00865924691699997,0.5764811208330988,8.566888458673573,0.0010583619219802234,0.00026459048049505584,8.388875902627362,0.1780125560462107,0.001068203230314424,0.008543965244277718,0.0017675613752848572
Conditioned RQMC,0.95,6.627309890222758,0.004738794313657244,0.561901745837531,6.627356582529409,0.0006576776336500669,0.00016441940841251674,4.916409594732119,1.71094698779729,-4.6692306651330284e-05,0.004639254024537471,0.0009673023387052225
Direct MC,0.7,8.709054223258116,0.1054838807084343,0.07770440415818787,8.691357578474411,0.001667615036314048,0.000416903759078512,8.690881763737867,0.00047581473654467743,0.017696644783704585,0.10476832352317682,0.021531806985356183
Direct MC,0.85,8.584598762336169,0.11036999135732452,0.07862116249210278,8.566888458673573,0.0010583619219802234,0.00026459048049505584,8.388875902627362,0.1780125560462107,0.017710303662596516,0.10948801710702522,0.022529180145069536
Direct MC,0.95,6.639750859253819,0.10133253393694007,0.07986438750473705,6.627356582529409,0.0006576776336500669,0.00016441940841251674,4.916409594732119,1.71094698779729,0.012394276724409181,0.09997027272235595,0.020684416874063586
Direct RQMC,0.7,8.692845710167848,0.010878858566708843,0.07898962916321277,8.691357578474411,0.001667615036314048,0.000416903759078512,8.690881763737867,0.00047581473654467743,0.0014881316934367561,0.010753272424245031,0.0022206377060285183
Direct RQMC,0.85,8.565479669128289,0.014285578220245707,0.07949022084358148,8.566888458673573,0.0010583619219802234,0.00026459048049505584,8.388875902627362,0.1780125560462107,-0.001408789545283895,0.014055575181793161,0.0029160314433515524
Direct RQMC,0.95,6.621162038631852,0.022494812621114673,0.08055929583497345,6.627356582529409,0.0006576776336500669,0.00016441940841251674,4.916409594732119,1.71094698779729,-0.0061945438975570255,0.022875859419309797,0.0045917343984374975
