Barrier ratio,Replication,Seed / scramble,Estimate
0.7,0,130260729,8.692165764941326
0.85,0,130260729,8.567212348299543
0.95,0,130260729,6.627715193738563
0.7,1,130260730,8.692589286685408
0.85,1,130260730,8.567993752682987
0.95,1,130260730,6.628249001843484
0.7,2,130260731,8.688632221687094
0.85,2,130260731,8.564989916706008
0.95,2,130260731,6.6270999635387176
0.7,3,130260732,8.693035417819301
0.85,3,130260732,8.56741286147406
0.95,3,130260732,6.627268990789982
0.7,4,130260733,8.688254372098848
0.85,4,130260733,8.56446634400834
0.95,4,130260733,6.626265856454207
0.7,5,130260734,8.692427508562753
0.85,5,130260734,8.56778890325189
0.95,5,130260734,6.626841501070848
0.7,6,130260735,8.693055128082143
0.85,6,130260735,8.568301704172153
0.95,6,130260735,6.628113590483932
0.7,7,130260736,8.693132268526904
0.85,7,130260736,8.567310852136877
0.95,7,130260736,6.627125457588419
0.7,8,130260737,8.690299978759384
0.85,8,130260737,8.566655775376649
0.95,8,130260737,6.627385980448358
0.7,9,130260738,8.690737837304667
0.85,9,130260738,8.566568976803048
0.95,9,130260738,6.627474493746521
0.7,10,130260739,8.692744924527132
0.85,10,130260739,8.568217743849027
0.95,10,130260739,6.628467006785577
0.7,11,130260740,8.689906923288737
0.85,11,130260740,8.566132637562736
0.95,11,130260740,6.6275743084163
0.7,12,130260741,8.692702869523549
0.85,12,130260741,8.566973915421345
0.95,12,130260741,6.62657701366996
0.7,13,130260742,8.689803214128407
0.85,13,130260742,8.567041002679597
0.95,13,130260742,6.62753140695994
0.7,14,130260743,8.6899718431775
0.85,14,130260743,8.56647341804992
0.95,14,130260743,6.627792395566513
0.7,15,130260744,8.692261696477434
0.85,15,130260744,8.56667518630299
0.95,15,130260744,6.626223159369225
