Method,Barrier ratio,Replication,Vol bump,Vega per vol point
Direct MC,0.7,0,0.0025,0.38401322596672216
Direct MC,0.7,0,0.005,0.3840277420252516
Direct MC,0.7,0,0.01,0.38406769957979847
Conditioned MC,0.7,0,0.0025,0.3839202066169527
Conditioned MC,0.7,0,0.005,0.3839309098999095
Conditioned MC,0.7,0,0.01,0.38397093650530856
Direct MC,0.85,0,0.0025,0.343587894878258
Direct MC,0.85,0,0.005,0.3510842220636725
Direct MC,0.85,0,0.01,0.3489653290441481
Conditioned MC,0.85,0,0.0025,0.34276118481392004
Conditioned MC,0.85,0,0.005,0.3427752533647137
Conditioned MC,0.85,0,0.01,0.3427324849510453
Direct MC,0.95,0,0.0025,0.18324518491759
Direct MC,0.95,0,0.005,0.1826106603492148
Direct MC,0.95,0,0.01,0.18201003055555187
Conditioned MC,0.95,0,0.0025,0.17158027172791535
Conditioned MC,0.95,0,0.005,0.17159869906343506
Conditioned MC,0.95,0,0.01,0.17165546805591833
Direct MC,0.7,1,0.0025,0.3794747301675905
Direct MC,0.7,1,0.005,0.38029830131899267
Direct MC,0.7,1,0.01,0.3807103370518714
Conditioned MC,0.7,1,0.0025,0.3810910967461183
Conditioned MC,0.7,1,0.005,0.3810737552218413
Conditioned MC,0.7,1,0.01,0.3810612018350143
Direct MC,0.85,1,0.0025,0.3428291007364379
Direct MC,0.85,1,0.005,0.34033461906217255
Direct MC,0.85,1,0.01,0.34042290226327054
Conditioned MC,0.85,1,0.0025,0.3443911520605596
Conditioned MC,0.85,1,0.005,0.3443812322417088
Conditioned MC,0.85,1,0.01,0.3442596340237607
Direct MC,0.95,1,0.0025,0.1441647923161291
Direct MC,0.95,1,0.005,0.17477098193062712
Direct MC,0.95,1,0.01,0.17674358225909081
Conditioned MC,0.95,1,0.0025,0.17266036070423318
Conditioned MC,0.95,1,0.005,0.17267005777193578
Conditioned MC,0.95,1,0.01,0.1727116427178008
Direct MC,0.7,2,0.0025,0.38002201533744184
Direct MC,0.7,2,0.005,0.38003452470432286
Direct MC,0.7,2,0.01,0.3800452563730765
Conditioned MC,0.7,2,0.0025,0.38000605632898754
Conditioned MC,0.7,2,0.005,0.38001138842737703
Conditioned MC,0.7,2,0.01,0.3800015081679939
Direct MC,0.85,2,0.0025,0.3373415882327251
Direct MC,0.85,2,0.005,0.33941959935643773
Direct MC,0.85,2,0.01,0.3396694612432584
Conditioned MC,0.85,2,0.0025,0.34103956003941605
Conditioned MC,0.85,2,0.005,0.34101617506449244
Conditioned MC,0.85,2,0.01,0.34099744497777434
Direct MC,0.95,2,0.0025,0.11646349596018091
Direct MC,0.95,2,0.005,0.1448136632599626
Direct MC,0.95,2,0.01,0.15248210006209506
Conditioned MC,0.95,2,0.0025,0.17157306695778018
Conditioned MC,0.95,2,0.005,0.17158849910731178
Conditioned MC,0.95,2,0.01,0.17164383317823528
Direct MC,0.7,3,0.0025,0.38543296817869077
Direct MC,0.7,3,0.005,0.3853950002161195
Direct MC,0.7,3,0.01,0.3853431557124311
Conditioned MC,0.7,3,0.0025,0.3853539342923291
Conditioned MC,0.7,3,0.005,0.38532032129898575
Conditioned MC,0.7,3,0.01,0.3852689205187261
Direct MC,0.85,3,0.0025,0.33649135734590274
Direct MC,0.85,3,0.005,0.33760586689293426
Direct MC,0.85,3,0.01,0.3418736910412585
Conditioned MC,0.85,3,0.0025,0.34204629751605253
Conditioned MC,0.85,3,0.005,0.3420008621575086
Conditioned MC,0.85,3,0.01,0.3418939211733889
Direct MC,0.95,3,0.0025,0.1646965615060818
Direct MC,0.95,3,0.005,0.14890629776579623
Direct MC,0.95,3,0.01,0.15697225853332908
Conditioned MC,0.95,3,0.0025,0.1717009097667095
Conditioned MC,0.95,3,0.005,0.17171250930409077
Conditioned MC,0.95,3,0.01,0.17176983821281275
Direct MC,0.7,4,0.0025,0.3817850376660843
Direct MC,0.7,4,0.005,0.38178871874626275
Direct MC,0.7,4,0.01,0.38180583829930276
Conditioned MC,0.7,4,0.0025,0.3817080645883202
Conditioned MC,0.7,4,0.005,0.38170968674490524
Conditioned MC,0.7,4,0.01,0.38173674606689273
Direct MC,0.85,4,0.0025,0.3491765865566734
Direct MC,0.85,4,0.005,0.33975907965179175
Direct MC,0.85,4,0.01,0.3435174840616328
Conditioned MC,0.85,4,0.0025,0.3417360242756473
Conditioned MC,0.85,4,0.005,0.34174070861929984
Conditioned MC,0.85,4,0.01,0.3417123589913204
Direct MC,0.95,4,0.0025,0.1620248663675472
Direct MC,0.95,4,0.005,0.1504784750753707
Direct MC,0.95,4,0.01,0.17544590019397344
Conditioned MC,0.95,4,0.0025,0.17239147199627602
Conditioned MC,0.95,4,0.005,0.17240427213730403
