Method,Barrier ratio,Vol bump,Mean_Vega_per_vol_point,Replication_SD,MAD
Conditioned MC,0.7,0.0025,0.38274326547186055,0.006183165122017611,0.004583503491012664
Conditioned MC,0.7,0.005,0.38274325890440486,0.006181512105479923,0.004594162193463092
Conditioned MC,0.7,0.01,0.38273455786086646,0.006171489712070668,0.004573413557818401
Conditioned MC,0.85,0.0025,0.34283878425946995,0.005841193159044385,0.003638043423260129
Conditioned MC,0.85,0.005,0.342830177342037,0.005837494272362582,0.0036285831681386327
Conditioned MC,0.85,0.01,0.3427817170270457,0.005831875591016816,0.0036470167961759337
Conditioned MC,0.95,0.0025,0.17271490962832434,0.0030269120111643855,0.0010799448314209315
Conditioned MC,0.95,0.005,0.1727279019452352,0.00302699403237071,0.0010830632682981012
Conditioned MC,0.95,0.01,0.17278116018112774,0.00302897909748304,0.0010821022308191708
Conditioned RQMC,0.7,0.0025,0.38177907656528404,0.000853255137476804,0.00045646060329573857
Conditioned RQMC,0.7,0.005,0.3817773204468249,0.0008625462703658848,0.0004124823490281315
Conditioned RQMC,0.7,0.01,0.38176157289722007,0.000862251429361365,0.00039860024438320707
Conditioned RQMC,0.85,0.0025,0.3418964408975578,0.0009060523380022323,0.0004509254126201512
Conditioned RQMC,0.85,0.005,0.3418951547419092,0.0008937631315140356,0.00041260667332032597
Conditioned RQMC,0.85,0.01,0.3418541571974365,0.0008711332137461579,0.0004242830869642944
Conditioned RQMC,0.95,0.0025,0.17211183810697292,0.00035293932991573154,0.0002502502959433883
Conditioned RQMC,0.95,0.005,0.17212487984690109,0.0003519296531302463,0.00024197810375792272
Conditioned RQMC,0.95,0.01,0.1721779832613671,0.00035137728081184393,0.00023706313013294178
Direct MC,0.7,0.0025,0.38268923189486087,0.006157415369428253,0.004533971744683285
Direct MC,0.7,0.005,0.38274541155442304,0.006145739972146419,0.004592412855897621
Direct MC,0.7,0.01,0.3827554270629649,0.00612713158004575,0.004585775311868545
Direct MC,0.85,0.0025,0.342927349532584,0.008245946565166334,0.006026948535666321
Direct MC,0.85,0.005,0.34308393053104536,0.007721355065170809,0.005578447634184691
Direct MC,0.85,0.01,0.34327365206071603,0.007308198155172095,0.004746316602149331
Direct MC,0.95,0.0025,0.16725666698082206,0.020272015836752172,0.014779375315775667
Direct MC,0.95,0.005,0.16899786726248966,0.013058627230542066,0.010033631010207156
Direct MC,0.95,0.01,0.17136824048335386,0.009004558104953033,0.0064206058569604985
Direct RQMC,0.7,0.0025,0.3818107503540397,0.000870560741839079,0.0005008506110062427
Direct RQMC,0.7,0.005,0.38181510489673837,0.0008680400431539315,0.0005117846929501013
Direct RQMC,0.7,0.01,0.3817881087754719,0.0008669930997455902,0.0005623750161300456
Direct RQMC,0.85,0.0025,0.34319572343397714,0.0074529870073498945,0.005568969478453312
Direct RQMC,0.85,0.005,0.3410530821766293,0.005266791914224485,0.003451388902228736
Direct RQMC,0.85,0.01,0.3423017192717,0.0037525322909780926,0.0022816691597187244
Direct RQMC,0.95,0.0025,0.1725478699146917,0.0176109670292905,0.011176758073476734
Direct RQMC,0.95,0.005,0.17067461226855726,0.013315281257722337,0.007167184092266243
Direct RQMC,0.95,0.01,0.17025259772461765,0.008780376651252756,0.004400825652693494
