method,replication,greek,bump,estimate,analytic_fd,error_vs_analytic
Direct,0,Delta,0.001,0.8601125076257121,0.9522425621447539,-0.09213005451904177
Direct,0,Gamma,0.001,0.8075455137849906,-0.009371690172343959,0.8169172039573346
Direct,0,Delta,0.0025,0.8559896690893396,0.9522568488218823,-0.09626717973254273
Direct,0,Gamma,0.0025,0.45594051152656334,-0.009372345575741292,0.46531285710230463
Direct,0,Delta,0.005,0.8589591860637418,0.9523078749804235,-0.09334868891668169
Direct,0,Gamma,0.005,0.05152038491388922,-0.009374686255810616,0.06089507116969983
Direct,0,Delta,0.01,0.8717359001703717,0.9525120157151026,-0.08077611554473085
Direct,0,Gamma,0.01,0.014586286245976687,-0.009384048060720573,0.02397033430669726
Direct,0,Delta,0.02,0.8795377855977313,0.9533291555456804,-0.0737913699479491
Direct,0,Gamma,0.02,0.002892331041594254,-0.009421480644813407,0.01231381168640766
Direct,0,Vega per vol point,0.0025,0.08793242127700296,0.017063382381117265,0.0708690388958857
Direct,0,Vega per vol point,0.005,0.09718386106258414,0.01708216570558463,0.08010169535699951
Direct,0,Vega per vol point,0.01,0.10233442084189281,0.01715752906885548,0.08517689177303733
Bernoulli bridge,0,Delta,0.001,0.7595210800441787,0.9522425621447539,-0.19272148210057516
Bernoulli bridge,0,Gamma,0.001,-0.8754033691261041,-0.009371690172343959,-0.8660316789537601
Bernoulli bridge,0,Delta,0.0025,0.9665062304637964,0.9522568488218823,0.014249381641914027
Bernoulli bridge,0,Gamma,0.0025,-0.4601188890518131,-0.009372345575741292,-0.4507465434760718
Bernoulli bridge,0,Delta,0.005,0.959237928158843,0.9523078749804235,0.0069300531784195485
Bernoulli bridge,0,Gamma,0.005,-0.030034122545938402,-0.009374686255810616,-0.020659436290127786
Bernoulli bridge,0,Delta,0.01,0.9499812287092766,0.9525120157151026,-0.002530787005825985
Bernoulli bridge,0,Gamma,0.01,0.019990415738453393,-0.009384048060720573,0.029374463799173967
Bernoulli bridge,0,Delta,0.02,0.9298032543951789,0.9533291555456804,-0.02352590115050157
Bernoulli bridge,0,Gamma,0.02,-0.011266511275108915,-0.009421480644813407,-0.0018450306302955077
Bernoulli bridge,0,Vega per vol point,0.0025,0.07328010620839365,0.017063382381117265,0.05621672382727638
Bernoulli bridge,0,Vega per vol point,0.005,0.035427020765381734,0.01708216570558463,0.018344855059797105
Bernoulli bridge,0,Vega per vol point,0.01,0.02045752982256399,0.01715752906885548,0.0033000007537085096
Conditional weight,0,Delta,0.001,0.942509736561914,0.9522425621447539,-0.009732825582839943
Conditional weight,0,Gamma,0.001,-0.02381134530766715,-0.009371690172343959,-0.014439655135323191
Conditional weight,0,Delta,0.0025,0.9429462074844537,0.9522568488218823,-0.009310641337428649
Conditional weight,0,Gamma,0.0025,-0.015837394348096723,-0.009372345575741292,-0.006465048772355431
Conditional weight,0,Delta,0.005,0.9427115504735504,0.9523078749804235,-0.009596324506873088
Conditional weight,0,Gamma,0.005,-0.006816472381103722,-0.009374686255810616,0.002558213874706894
Conditional weight,0,Delta,0.01,0.9403868061137244,0.9525120157151026,-0.012125209601378195
Conditional weight,0,Gamma,0.01,-0.005690058337338044,-0.009384048060720573,0.003693989723382529
Conditional weight,0,Delta,0.02,0.9416541822725535,0.9533291555456804,-0.011674973273126943
Conditional weight,0,Gamma,0.02,-0.009089830038313762,-0.009421480644813407,0.00033165060649964495
Conditional weight,0,Vega per vol point,0.0025,0.023196763974922874,0.017063382381117265,0.006133381593805609
Conditional weight,0,Vega per vol point,0.005,0.023102778272638957,0.01708216570558463,0.006020612567054329
Conditional weight,0,Vega per vol point,0.01,0.02287436615199967,0.01715752906885548,0.005716837083144188
Direct,1,Delta,0.001,0.845379664888819,0.9522425621447539,-0.1068628972559349
Direct,1,Gamma,0.001,-0.7576707438225582,-0.009371690172343959,-0.7482990536502142
Direct,1,Delta,0.0025,0.8692474302416304,0.9522568488218823,-0.0830094185802519
Direct,1,Gamma,0.0025,-0.1641153743601791,-0.009372345575741292,-0.1547430287844378
Direct,1,Delta,0.005,0.8878601747965735,0.9523078749804235,-0.06444770018384993
Direct,1,Gamma,0.005,-0.1538251982810337,-0.009374686255810616,-0.14445051202522308
Direct,1,Delta,0.01,0.8655608524392995,0.9525120157151026,-0.0869511632758031
Direct,1,Gamma,0.01,-0.021232487109037912,-0.009384048060720573,-0.011848439048317339
Direct,1,Delta,0.02,0.8794077820670245,0.9533291555456804,-0.0739213734786559
Direct,1,Gamma,0.02,0.0015670080400322917,-0.009421480644813407,0.010988488684845699
Direct,1,Vega per vol point,0.0025,0.11353117215524655,0.017063382381117265,0.09646778977412929
Direct,1,Vega per vol point,0.005,0.10408566100964745,0.01708216570558463,0.08700349530406282
Direct,1,Vega per vol point,0.01,0.09933765807785555,0.01715752906885548,0.08218012900900007
Bernoulli bridge,1,Delta,0.001,0.9351801879602251,0.9522425621447539,-0.017062374184528828
Bernoulli bridge,1,Gamma,0.001,-0.2457217923534038,-0.009371690172343959,-0.23635010218105984
Bernoulli bridge,1,Delta,0.0025,0.9280187054574576,0.9522568488218823,-0.024238143364424758
Bernoulli bridge,1,Gamma,0.0025,0.17936536551266613,-0.009372345575741292,0.18873771108840742
Bernoulli bridge,1,Delta,0.005,0.9450612369700551,0.9523078749804235,-0.0072466380103684
Bernoulli bridge,1,Gamma,0.005,-0.008459894966364345,-0.009374686255810616,0.0009147912894462706
Bernoulli bridge,1,Delta,0.01,0.9291885467933305,0.9525120157151026,-0.02332346892177206
Bernoulli bridge,1,Gamma,0.01,0.04528073572647884,-0.009384048060720573,0.05466478378719941
Bernoulli bridge,1,Delta,0.02,0.9697919050630699,0.9533291555456804,0.016462749517389463
Bernoulli bridge,1,Gamma,0.02,-0.016775483498796318,-0.009421480644813407,-0.0073540028539829105
Bernoulli bridge,1,Vega per vol point,0.0025,0.01012028735516246,0.017063382381117265,-0.006943095025954804
Bernoulli bridge,1,Vega per vol point,0.005,0.013569107086700782,0.01708216570558463,-0.0035130586188838464
Bernoulli bridge,1,Vega per vol point,0.01,0.03149233465979728,0.01715752906885548,0.014334805590941802
Conditional weight,1,Delta,0.001,0.943342890343768,0.9522425621447539,-0.008899671800985942
Conditional weight,1,Gamma,0.001,-0.017647677266374725,-0.009371690172343959,-0.008275987094030766
Conditional weight,1,Delta,0.0025,0.9430098377755503,0.9522568488218823,-0.009247011046332076
Conditional weight,1,Gamma,0.0025,-0.014058704437857727,-0.009372345575741292,-0.004686358862116435
Conditional weight,1,Delta,0.005,0.942853623407105,0.9523078749804235,-0.009454251573318473
Conditional weight,1,Gamma,0.005,-0.011166274368328288,-0.009374686255810616,-0.0017915881125176725
Conditional weight,1,Delta,0.01,0.9428862599124728,0.9525120157151026,-0.00962575580262981
Conditional weight,1,Gamma,0.01,-0.01424876000553299,-0.009384048060720573,-0.0048647119448124165
Conditional weight,1,Delta,0.02,0.9507699372649947,0.9533291555456804,-0.0025592182806857267
Conditional weight,1,Gamma,0.02,-0.01586411592019088,-0.009421480644813407,-0.006442635275377473
Conditional weight,1,Vega per vol point,0.0025,0.02120396535530844,0.017063382381117265,0.004140582974191176
Conditional weight,1,Vega per vol point,0.005,0.021239817749485468,0.01708216570558463,0.004157652043900839
Conditional weight,1,Vega per vol point,0.01,0.02123117280411302,0.01715752906885548,0.004073643735257537
Direct,2,Delta,0.001,0.881518769851164,0.9522425621447539,-0.07072379229358994
Direct,2,Gamma,0.001,-1.14490345404441,-0.009371690172343959,-1.1355317638720661
Direct,2,Delta,0.0025,0.8700819481717517,0.9522568488218823,-0.08217490065013067
Direct,2,Gamma,0.0025,-0.35968533955553994,-0.009372345575741292,-0.35031299397979865
Direct,2,Delta,0.005,0.8770794329699898,0.9523078749804235,-0.07522844201043366
Direct,2,Gamma,0.005,-0.11226699543052732,-0.009374686255810616,-0.1028923091747167
Direct,2,Delta,0.01,0.8680623599648025,0.9525120157151026,-0.08444965575030006
Direct,2,Gamma,0.01,-0.03264216903905126,-0.009384048060720573,-0.023258120978330687
Direct,2,Delta,0.02,0.8710722538538465,0.9533291555456804,-0.08225690169183397
Direct,2,Gamma,0.02,-0.007787729461868009,-0.009421480644813407,0.0016337511829453977
Direct,2,Vega per vol point,0.0025,0.09768200537552829,0.017063382381117265,0.08061862299441103
Direct,2,Vega per vol point,0.005,0.09686218850871686,0.01708216570558463,0.07978002280313223
Direct,2,Vega per vol point,0.01,0.09046610630989083,0.01715752906885548,0.07330857724103534
Bernoulli bridge,2,Delta,0.001,1.0025589685695824,0.9522425621447539,0.050316406424828486
Bernoulli bridge,2,Gamma,0.001,-1.473533009245642,-0.009371690172343959,-1.464161319073298
Bernoulli bridge,2,Delta,0.0025,1.0328751311356381,0.9522568488218823,0.08061828231375578
Bernoulli bridge,2,Gamma,0.0025,-0.20165891504068156,-0.009372345575741292,-0.19228656946494027
Bernoulli bridge,2,Delta,0.005,0.9734584743831238,0.9523078749804235,0.021150599402700365
Bernoulli bridge,2,Gamma,0.005,-0.06926235133389014,-0.009374686255810616,-0.05988766507807952
Bernoulli bridge,2,Delta,0.01,0.957427204965281,0.9525120157151026,0.00491518925017842
Bernoulli bridge,2,Gamma,0.01,-0.03866189705889722,-0.009384048060720573,-0.029277848998176648
Bernoulli bridge,2,Delta,0.02,0.94254591189691,0.9533291555456804,-0.01078324364877048
Bernoulli bridge,2,Gamma,0.02,-0.019177785888795817,-0.009421480644813407,-0.00975630524398241
Bernoulli bridge,2,Vega per vol point,0.0025,0.007156259403213738,0.017063382381117265,-0.009907122977903526
Bernoulli bridge,2,Vega per vol point,0.005,-0.006088479975483452,0.01708216570558463,-0.02317064568106808
Bernoulli bridge,2,Vega per vol point,0.01,0.005766047584535361,0.01715752906885548,-0.01139148148432012
Conditional weight,2,Delta,0.001,0.9325406866807207,0.9522425621447539,-0.019701875464033236
Conditional weight,2,Gamma,0.001,-0.0032259756768127086,-0.009371690172343959,0.00614571449553125
Conditional weight,2,Delta,0.0025,0.9334406221138654,0.9522568488218823,-0.01881622670801697
Conditional weight,2,Gamma,0.0025,-0.0030229346957213465,-0.009372345575741292,0.006349410880019946
Conditional weight,2,Delta,0.005,0.9367905745982785,0.9523078749804235,-0.015517300382144938
Conditional weight,2,Gamma,0.005,-0.00599121812029324,-0.009374686255810616,0.0033834681355173757
Conditional weight,2,Delta,0.01,0.9444272686629709,0.9525120157151026,-0.008084747052131691
Conditional weight,2,Gamma,0.01,-0.013070743403749585,-0.009384048060720573,-0.0036866953430290117
Conditional weight,2,Delta,0.02,0.9498923121003013,0.9533291555456804,-0.0034368434453790897
Conditional weight,2,Gamma,0.02,-0.015834859223044617,-0.009421480644813407,-0.00641337857823121
Conditional weight,2,Vega per vol point,0.0025,0.023697357059418778,0.017063382381117265,0.006633974678301513
Conditional weight,2,Vega per vol point,0.005,0.023646321603964182,0.01708216570558463,0.006564155898379553
Conditional weight,2,Vega per vol point,0.01,0.023442548902868232,0.01715752906885548,0.0062850198340127506
Direct,3,Delta,0.001,0.7960865588582156,0.9522425621447539,-0.15615600328653834
Direct,3,Gamma,0.001,0.9399519341101834,-0.009371690172343959,0.9493236242825274
Direct,3,Delta,0.0025,0.8886014345792326,0.9522568488218823,-0.06365541424264975
Direct,3,Gamma,0.0025,0.442347357626403,-0.009372345575741292,0.4517197032021443
Direct,3,Delta,0.005,0.907995745595664,0.9523078749804235,-0.04431212938475948
Direct,3,Gamma,0.005,0.22500651367446167,-0.009374686255810616,0.2343811999302723
Direct,3,Delta,0.01,0.8925820485117213,0.9525120157151026,-0.059929967203381285
Direct,3,Gamma,0.01,0.07282399540182194,-0.009384048060720573,0.08220804346254251
Direct,3,Delta,0.02,0.8967698884612565,0.9533291555456804,-0.056559267084423936
Direct,3,Gamma,0.02,0.02461958550764054,-0.009421480644813407,0.03404106615245395
Direct,3,Vega per vol point,0.0025,0.12152475094466553,0.017063382381117265,0.10446136856354826
Direct,3,Vega per vol point,0.005,0.09225438763932114,0.01708216570558463,0.07517222193373652
Direct,3,Vega per vol point,0.01,0.0855999261953726,0.01715752906885548,0.06844239712651712
Bernoulli bridge,3,Delta,0.001,0.8797224843754581,0.9522425621447539,-0.07252007776929581
Bernoulli bridge,3,Gamma,0.001,-1.634241156365057,-0.009371690172343959,-1.624869466192713
Bernoulli bridge,3,Delta,0.0025,0.8820262087908546,0.9522568488218823,-0.07023064003102775
Bernoulli bridge,3,Gamma,0.0025,-0.5748367953721072,-0.009372345575741292,-0.5654644497963659
Bernoulli bridge,3,Delta,0.005,0.9269288666144444,0.9523078749804235,-0.02537900836597906
Bernoulli bridge,3,Gamma,0.005,-0.08348263748278129,-0.009374686255810616,-0.07410795122697067
Bernoulli bridge,3,Delta,0.01,0.9579098221138609,0.9525120157151026,0.005397806398758309
Bernoulli bridge,3,Gamma,0.01,-0.05952216894554763,-0.009384048060720573,-0.05013812088482705
Bernoulli bridge,3,Delta,0.02,0.9496041229544744,0.9533291555456804,-0.0037250325912060456
Bernoulli bridge,3,Gamma,0.02,-0.009219904880663488,-0.009421480644813407,0.0002015757641499194
