method,greek,bump,mean_estimate,analytic_fd,replication_sd,error_vs_analytic
Bernoulli bridge,Delta,0.001,0.920851937693577,0.9522425621447539,0.08025892650607055,-0.03139062445117691
Bernoulli bridge,Delta,0.0025,0.9475202006305603,0.9522568488218823,0.0492443625533869,-0.004736648191322024
Bernoulli bridge,Delta,0.005,0.943636506601679,0.9523078749804235,0.03361546463715257,-0.008671368378744493
Bernoulli bridge,Delta,0.01,0.9506656065481421,0.9525120157151026,0.01068346225522607,-0.0018464091669604388
Bernoulli bridge,Delta,0.02,0.9477636865499951,0.9533291555456804,0.015644171187774933,-0.00556546899568533
Bernoulli bridge,Gamma,0.001,-0.22902976536131048,-0.009371690172343959,1.8097741970260735,-0.21965807518896652
Bernoulli bridge,Gamma,0.0025,-0.09078537879953252,-0.009372345575741292,0.4907845887695564,-0.08141303322379123
Bernoulli bridge,Gamma,0.005,-0.03276208258200519,-0.009374686255810616,0.13941965975561194,-0.023387396326194576
Bernoulli bridge,Gamma,0.01,-0.005994192506313889,-0.009384048060720573,0.05745749472750944,0.0033898555544066844
Bernoulli bridge,Gamma,0.02,-0.008068995386411287,-0.009421480644813407,0.018355986833255615,0.0013524852584021196
Bernoulli bridge,Vega per vol point,0.0025,0.02719514413162627,0.017063382381117265,0.025632604372146067,0.010131761750509005
Bernoulli bridge,Vega per vol point,0.005,0.02120490666041963,0.01708216570558463,0.017327271446834748,0.0041227409548350025
Bernoulli bridge,Vega per vol point,0.01,0.022523172281838144,0.01715752906885548,0.011445941470232328,0.0053656432129826626
Conditional weight,Delta,0.001,0.9435528226165157,0.9522425621447539,0.021664607012108397,-0.00868973952823815
Conditional weight,Delta,0.0025,0.9437477697248589,0.9522568488218823,0.02124281200327975,-0.008509079097023475
Conditional weight,Delta,0.005,0.9445590204812407,0.9523078749804235,0.019929327065365588,-0.007748854499182722
Conditional weight,Delta,0.01,0.9458330472173109,0.9525120157151026,0.015605545422792473,-0.006678968497791704
Conditional weight,Delta,0.02,0.9507013037904815,0.9533291555456804,0.010041289726186514,-0.0026278517551989733
Conditional weight,Gamma,0.001,-0.005898458670672291,-0.009371690172343959,0.02277833032863577,0.003473231501671668
Conditional weight,Gamma,0.0025,-0.001595338422850645,-0.009372345575741292,0.023497967070470725,0.007777007152890647
Conditional weight,Gamma,0.005,0.0007755914196230229,-0.009374686255810616,0.021815966877251035,0.010150277675433639
Conditional weight,Gamma,0.01,0.0006022124734680334,-0.009384048060720573,0.017921157539417667,0.009986260534188607
Conditional weight,Gamma,0.02,-0.006075919328136989,-0.009421480644813407,0.009817200351091737,0.003345561316676418
Conditional weight,Vega per vol point,0.0025,0.020124756794563492,0.017063382381117265,0.008519937206532876,0.0030613744134462273
Conditional weight,Vega per vol point,0.005,0.020126348498475388,0.01708216570558463,0.008451546535709557,0.0030441827928907594
Conditional weight,Vega per vol point,0.01,0.020081165351571673,0.01715752906885548,0.00831908841202455,0.002923636282716191
Direct,Delta,0.001,0.8640973843108468,0.9522425621447539,0.039607207526699204,-0.08814517783390707
Direct,Delta,0.0025,0.8986024676988531,0.9522568488218823,0.03627243843414988,-0.05365438112302923
Direct,Delta,0.005,0.88896558039049,0.9523078749804235,0.016442681399074614,-0.06334229458993346
Direct,Delta,0.01,0.8830042574973536,0.9525120157151026,0.016261034093185172,-0.06950775821774902
Direct,Delta,0.02,0.8804868445284919,0.9533291555456804,0.01121149975909729,-0.07284231101718852
Direct,Gamma,0.001,0.3863143119086531,-0.009371690172343959,1.023556780793951,0.3956860020809971
Direct,Gamma,0.0025,0.1282448800530478,-0.009372345575741292,0.383134042007299,0.13761722562878909
Direct,Gamma,0.005,0.014386070693381381,-0.009374686255810616,0.14112223678748237,0.023760756949191997
Direct,Gamma,0.01,-0.004016640375874014,-0.009384048060720573,0.04742087318235154,0.005367407684846559
Direct,Gamma,0.02,0.0004092060543182119,-0.009421480644813407,0.016475518057319522,0.009830686699131619
Direct,Vega per vol point,0.0025,0.10421083124464636,0.017063382381117265,0.020160750582029926,0.0871474488635291
Direct,Vega per vol point,0.005,0.0937051093417951,0.01708216570558463,0.010424657260268684,0.07662294363621047
Direct,Vega per vol point,0.01,0.08800662660418951,0.01715752906885548,0.009268503033074086,0.07084909753533403
