sampling,method,monitoring_steps,sample_size,mean_price,replication_sd,mean_runtime_seconds,se_of_mean,bias_vs_analytic,rmse_vs_analytic
MC,Bernoulli bridge,12,1024,4.81781365375931,0.3728072994974362,0.002348149981116876,0.1864036497487181,-0.09859594097280944,0.33757980018840295
MC,Bernoulli bridge,12,4096,5.003144568957039,0.10473987835929756,0.009199924999848008,0.05236993917964878,0.08673497422491927,0.12550214078985944
MC,Bernoulli bridge,12,16384,4.983878785476557,0.08023215080582743,0.034890150011051446,0.04011607540291372,0.06746919074443802,0.09685034959620002
MC,Bernoulli bridge,12,65536,4.915700685486744,0.04511642577116423,0.1404497750045266,0.022558212885582116,-0.0007089092453753665,0.03907840142702754
MC,Bernoulli bridge,24,1024,5.143834866890605,0.14618170358585336,0.004421199992066249,0.07309085179292668,0.2274252721584853,0.2602865195583665
MC,Bernoulli bridge,24,4096,4.930610235561064,0.25376022247522584,0.017433849978260696,0.12688011123761292,0.014200640828944344,0.2202211299647692
MC,Bernoulli bridge,24,16384,4.852233386364614,0.09424086701389951,0.07278982497518882,0.047120433506949756,-0.06417620836750526,0.10382481149550975
MC,Bernoulli bridge,24,65536,4.880529203551374,0.02240420251331081,0.28528092498891056,0.011202101256655404,-0.035880391180745264,0.04079048527507883
MC,Bernoulli bridge,52,1024,4.712661314301965,0.09333908229787811,0.00867082504555583,0.04666954114893906,-0.2037482804301547,0.21919739960000098
MC,Bernoulli bridge,52,4096,4.967790356484702,0.16598088126233512,0.03482817503390834,0.08299044063116756,0.05138076175258277,0.15265065472097306
MC,Bernoulli bridge,52,16384,4.8763976404507865,0.07033218004721586,0.14120560002629645,0.03516609002360793,-0.04001195428133286,0.07287604646286024
MC,Bernoulli bridge,52,65536,4.898078980794606,0.03718510582196432,0.5718965999840293,0.01859255291098216,-0.018330613937513007,0.03705483070490462
MC,Bernoulli bridge,104,1024,4.760715100093135,0.4362577979704851,0.01750725001329556,0.21812889898524254,-0.15569449463898444,0.4086336077446778
MC,Bernoulli bridge,104,4096,4.950217281848811,0.2161138786803578,0.0713199499878101,0.1080569393401789,0.03380768711669191,0.19018902735668372
MC,Bernoulli bridge,104,16384,4.95440312397758,0.06671022267372295,0.2885791000153404,0.033355111336861476,0.037993529245460955,0.06914621190932285
MC,Bernoulli bridge,104,65536,4.92738347251772,0.030947263422372275,1.1974304000032134,0.015473631711186138,0.01097387778560055,0.028960763606189384
MC,Bernoulli bridge,252,1024,4.807413613231732,0.207379422141608,0.04496294996351935,0.103689711070804,-0.10899598150038692,0.2100828230224292
MC,Bernoulli bridge,252,4096,4.996618076977431,0.09399755583815324,0.17676804997608997,0.04699877791907662,0.08020848224531196,0.11428060203620136
MC,Bernoulli bridge,252,16384,4.9308453883702805,0.0362035990451752,0.7136098999762908,0.0181017995225876,0.014435793638161165,0.03451691724113607
MC,Bernoulli bridge,252,65536,4.948658029389145,0.031606443854099144,2.86828987498302,0.015803221927049572,0.03224843465702598,0.042298782578878445
MC,Bernoulli bridge,504,1024,5.214089947708203,0.42100008677132267,0.08823772499454208,0.21050004338566133,0.29768035297608364,0.4706850298703602
MC,Bernoulli bridge,504,4096,4.9674858861284505,0.0757477177523349,0.35746582501451485,0.03787385887616745,0.051076291396331186,0.08313889042631258
MC,Bernoulli bridge,504,16384,4.920036516196484,0.039315529520492457,1.4356329749862198,0.019657764760246228,0.0036269214643649406,0.034240877696347205
