sampling,method,monitoring_steps,1024,4096,16384,65536,sd_ratio_Nmax_to_Nmin
MC,Bernoulli bridge,12,0.3728072994974362,0.10473987835929756,0.08023215080582743,0.04511642577116423,0.12101808583679435
MC,Bernoulli bridge,24,0.14618170358585336,0.25376022247522584,0.09424086701389951,0.02240420251331081,0.1532626995289646
MC,Bernoulli bridge,52,0.09333908229787811,0.16598088126233512,0.07033218004721586,0.03718510582196432,0.39838730900839003
MC,Bernoulli bridge,104,0.4362577979704851,0.2161138786803578,0.06671022267372295,0.030947263422372275,0.07093801776459249
MC,Bernoulli bridge,252,0.207379422141608,0.09399755583815324,0.0362035990451752,0.031606443854099144,0.15240877579703563
MC,Bernoulli bridge,504,0.42100008677132267,0.0757477177523349,0.039315529520492457,0.03610011737584901,0.08574847965638958
MC,Conditional weight,12,0.24753183630050954,0.07827471475802805,0.06274439187783457,0.03197950310928679,0.12919349521757237
MC,Conditional weight,24,0.03970792804791826,0.22180266697773063,0.06623672809793466,0.016691677142788654,0.4203613223698217
MC,Conditional weight,52,0.13928784956233056,0.1911999454378052,0.061777696145151266,0.03340055435607138,0.2397951756813132
MC,Conditional weight,104,0.4554697402083156,0.23029198731767606,0.06530986130134324,0.038938584076670384,0.08549104504475152
MC,Conditional weight,252,0.14444157955129586,0.07490693952793238,0.041178851207308104,0.03201383012997131,0.22163860454462955
MC,Conditional weight,504,0.4082313600581965,0.05912056499489863,0.04114879699720079,0.03037842836576722,0.07441473472649564
MC,Direct,12,0.3578895791224547,0.13804915453090966,0.07784208252846885,0.019158712893381523,0.05353246926149313
MC,Direct,24,0.17044797551248295,0.23944888329740635,0.04111164780997941,0.015562946662174669,0.09130613969090469
MC,Direct,52,0.14659083153210462,0.19632555920848163,0.08333526843972416,0.03424911274734329,0.23363748189014433
MC,Direct,104,0.5015769938536552,0.24776927226669151,0.04545145545943916,0.04400289399125839,0.0877290915063323
MC,Direct,252,0.1302546693181981,0.08741566704871946,0.049164271080223025,0.0365873356159765,0.28089077963568115
MC,Direct,504,0.38184844910924615,0.03745874836432635,0.040974189760495265,0.03448989045664476,0.09032350540404385
RQMC,Bernoulli bridge,12,0.13804975777940712,0.03301262398219332,0.011012537004909936,0.0070502677156189745,0.05107048233206435
RQMC,Bernoulli bridge,24,0.13866127149750643,0.07910976744478058,0.03650621735560636,0.018669000274800868,0.1346374519228074
RQMC,Bernoulli bridge,52,0.2134429242458799,0.08306040538970359,0.07981109227800794,0.025763174789092243,0.12070287586302852
RQMC,Bernoulli bridge,104,0.21326911846740193,0.05757482203247098,0.03891292790928461,0.02157190850939632,0.1011487676435141
RQMC,Bernoulli bridge,252,0.12689657314789357,0.07920059516698857,0.025189952436565858,0.01459535619743079,0.11501773322452458
RQMC,Bernoulli bridge,504,0.31455095919873916,0.09134771651016545,0.032007847431363534,0.005108989993310784,0.016242169492425004
RQMC,Conditional weight,12,0.04319209102563308,0.03228776167170006,0.01590442605725025,0.0036545022382828665,0.08461044954072819
RQMC,Conditional weight,24,0.1843687519774862,0.07109412908071346,0.02151646943165053,0.005849397091552807,0.031726618685725516
RQMC,Conditional weight,52,0.2042365144139458,0.08853694254871919,0.08173801065644759,0.01782237052138893,0.08726338956836394
RQMC,Conditional weight,104,0.2298997700251085,0.06868463944350875,0.043682122880027645,0.01878027548029379,0.08168897027710251
RQMC,Conditional weight,252,0.12404849336439565,0.0510175549245236,0.036561094659462806,0.019979160609956866,0.16105927664326858
RQMC,Conditional weight,504,0.2834955781898376,0.09499383741724693,0.033356863805951785,0.008332540319290458,0.029392135046673373
RQMC,Direct,12,0.18773917036205548,0.05979131339413305,0.02513862901564791,0.010150012517442315,0.05406443683472122
RQMC,Direct,24,0.1346469724858237,0.05612569822275643,0.030881935142527923,0.013821684289112297,0.10265128159912777
RQMC,Direct,52,0.19903033660887484,0.08125029932440034,0.04239857676131795,0.021242340180748057,0.10672915768862169
RQMC,Direct,104,0.21798563260094175,0.06879999786934202,0.04260260712597732,0.01665965532880259,0.07642547414719211
RQMC,Direct,252,0.11851521081839872,0.0770114162599203,0.04383219206303385,0.021049876187624883,0.1776132872925458
RQMC,Direct,504,0.2594771893238805,0.10134468757634627,0.028002535318955368,0.011269465053649499,0.04343142872409839
