scenario_id,replication,total_value,additive_sum,component_identity_error,probability_mass_error,fair_coupon_residual
RC-L-r0.03-s0.2-rho0.4,0,101.28897014823953,101.28897014823953,0.0,0.0,0.0
RC-L-r0.03-s0.2-rho0.4,1,100.70639714457032,100.70639714457032,0.0,0.0,0.0
RC-L-r0.03-s0.2-rho0.4,2,101.09419493894539,101.09419493894539,0.0,0.0,0.0
RC-L-r0.03-s0.2-rho0.6,0,101.11922943287715,101.11922943287715,0.0,0.0,0.0
RC-L-r0.03-s0.2-rho0.6,1,101.2601488089795,101.2601488089795,0.0,0.0,0.0
RC-L-r0.03-s0.2-rho0.6,2,101.14239199731045,101.14239199731044,1.4210854715202004e-14,0.0,0.0
RC-L-r0.03-s0.3-rho0.4,0,89.12417175513316,89.12417175513316,0.0,0.0,0.0
RC-L-r0.03-s0.3-rho0.4,1,89.98259735866588,89.98259735866588,0.0,0.0,0.0
RC-L-r0.03-s0.3-rho0.4,2,90.15871827737622,90.15871827737622,0.0,0.0,0.0
RC-L-r0.03-s0.3-rho0.6,0,91.93267671880862,91.93267671880864,-1.4210854715202004e-14,0.0,0.0
RC-L-r0.03-s0.3-rho0.6,1,92.17190563902933,92.17190563902933,0.0,0.0,0.0
RC-L-r0.03-s0.3-rho0.6,2,91.58745537666636,91.58745537666636,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.4,0,100.26378539077196,100.26378539077196,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.4,1,100.22778174137788,100.22778174137788,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.4,2,100.28271479288964,100.28271479288964,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.6,0,99.9770114098544,99.9770114098544,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.6,1,100.0668606956165,100.0668606956165,0.0,0.0,0.0
RC-L-r0.04-s0.2-rho0.6,2,100.616374516951,100.616374516951,0.0,0.0,0.0
RC-L-r0.04-s0.3-rho0.4,0,89.18753107588671,89.18753107588671,0.0,0.0,0.0
RC-L-r0.04-s0.3-rho0.4,1,89.8373003712991,89.83730037129908,1.4210854715202004e-14,0.0,0.0
RC-L-r0.04-s0.3-rho0.4,2,88.8669193243616,88.86691932436159,1.4210854715202004e-14,0.0,0.0
RC-L-r0.04-s0.3-rho0.6,0,90.54344043489553,90.54344043489554,-1.4210854715202004e-14,0.0,0.0
RC-L-r0.04-s0.3-rho0.6,1,90.6021841730581,90.60218417305812,-1.4210854715202004e-14,0.0,0.0
RC-L-r0.04-s0.3-rho0.6,2,91.6660904246887,91.6660904246887,0.0,0.0,0.0
RC-L-T8-1,0,90.5636660701488,90.56366607014881,-1.4210854715202004e-14,0.0,0.0
RC-L-T8-1,1,90.51781482013777,90.51781482013777,0.0,0.0,0.0
RC-L-T8-1,2,89.8493105528919,89.84931055289188,1.4210854715202004e-14,0.0,0.0
RC-L-T8-2,0,88.78109659136761,88.78109659136761,0.0,0.0,0.0
RC-L-T8-2,1,89.81434928161059,89.81434928161059,0.0,0.0,0.0
RC-L-T8-2,2,89.17479094326646,89.17479094326647,-1.4210854715202004e-14,0.0,0.0
RC-L-T8-3,0,90.32608341076113,90.32608341076113,0.0,0.0,0.0
RC-L-T8-3,1,91.48989669542343,91.48989669542343,0.0,0.0,0.0
RC-L-T8-3,2,91.51772508464374,91.51772508464373,1.4210854715202004e-14,0.0,0.0
RC-A-baseline,0,94.46721731324688,94.46721731324688,0.0,0.0,0.0
RC-A-baseline,1,93.8066777810567,93.8066777810567,0.0,0.0,0.0
RC-A-baseline,2,93.97713706016066,93.97713706016066,0.0,0.0,0.0
RC-A-baseline,3,93.84139151683857,93.84139151683857,0.0,0.0,0.0
RC-A-vol-75,0,98.65695183521495,98.65695183521495,0.0,0.0,0.0
RC-A-vol-75,1,98.219692439029,98.219692439029,0.0,0.0,0.0
RC-A-vol-75,2,98.34404445469373,98.34404445469373,0.0,0.0,0.0
RC-A-vol-75,3,98.33707627379322,98.33707627379322,0.0,0.0,0.0
RC-A-vol-125,0,90.48214652378428,90.48214652378428,0.0,0.0,0.0
RC-A-vol-125,1,89.9219150313467,89.9219150313467,0.0,0.0,0.0
RC-A-vol-125,2,90.03883312087366,90.03883312087366,0.0,0.0,0.0
RC-A-vol-125,3,89.73298169769342,89.73298169769342,0.0,0.0,0.0
RC-A-corr-low,0,91.21919605933336,91.21919605933336,0.0,0.0,0.0
RC-A-corr-low,1,90.32206813322006,90.32206813322006,0.0,0.0,0.0
RC-A-corr-low,2,90.25690835153034,90.25690835153034,0.0,0.0,0.0
RC-A-corr-low,3,90.1371183942356,90.1371183942356,0.0,0.0,0.0
RC-A-corr-high,0,95.30213347538846,95.30213347538846,0.0,0.0,0.0
RC-A-corr-high,1,94.76762836722054,94.76762836722054,0.0,0.0,0.0
RC-A-corr-high,2,94.94478420781627,94.94478420781627,0.0,0.0,0.0
RC-A-corr-high,3,94.79345005991422,94.7934500599142,1.4210854715202004e-14,0.0,0.0
RC-A-KI-65,0,96.22722328000145,96.22722328000145,0.0,0.0,0.0
RC-A-KI-65,1,95.49461259493418,95.49461259493418,0.0,0.0,0.0
RC-A-KI-65,2,95.84705810926627,95.84705810926627,0.0,0.0,0.0
RC-A-KI-65,3,95.70184235266638,95.70184235266638,0.0,0.0,0.0
RC-A-KI-85,0,94.13019427004268,94.13019427004268,0.0,0.0,0.0
RC-A-KI-85,1,93.53237180469738,93.53237180469738,0.0,0.0,0.0
RC-A-KI-85,2,93.68328278292233,93.68328278292233,0.0,0.0,0.0
RC-A-KI-85,3,93.53757407619247,93.53757407619247,0.0,0.0,0.0
RC-A-autocall-early,0,95.00778418639355,95.00778418639355,0.0,0.0,0.0
RC-A-autocall-early,1,94.50374763711584,94.50374763711584,0.0,0.0,0.0
RC-A-autocall-early,2,94.44421839210325,94.44421839210327,-1.4210854715202004e-14,0.0,0.0
RC-A-autocall-early,3,94.32596161406539,94.32596161406538,1.4210854715202004e-14,0.0,0.0
RC-A-autocall-delayed,0,94.1367544539495,94.1367544539495,0.0,0.0,0.0
RC-A-autocall-delayed,1,93.64897354381972,93.64897354381972,0.0,0.0,0.0
RC-A-autocall-delayed,2,93.55040180203564,93.55040180203565,-1.4210854715202004e-14,0.0,0.0
RC-A-autocall-delayed,3,93.51367438193385,93.51367438193384,1.4210854715202004e-14,0.0,0.0
