experiment,scenario_id,replication,base_value,coupon_annuity,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,seed
Lee Table 7,RC-L-r0.03-s0.2-rho0.4,0,94.8465528902318,107.37362096679544,0.047995467260639954,0.0,4096,252,2295277990
Lee Table 7,RC-L-r0.03-s0.2-rho0.4,1,94.36091969648184,105.75795746814134,0.05332062417352264,0.0,4096,252,3067430721
Lee Table 7,RC-L-r0.03-s0.2-rho0.4,2,94.63523281089499,107.64936880084014,0.049835565678329745,0.0,4096,252,377725437
Lee Table 7,RC-L-r0.03-s0.2-rho0.6,0,95.0297331355365,101.49160495567742,0.04897219692834763,0.0,4096,252,1255964342
Lee Table 7,RC-L-r0.03-s0.2-rho0.6,1,95.25892280161167,100.02043345613022,0.04740108630370814,0.0,4096,252,1435816616
Lee Table 7,RC-L-r0.03-s0.2-rho0.6,2,95.07235096539655,101.16735053189834,0.048707898434581884,0.0,4096,252,2994620290
Lee Table 7,RC-L-r0.03-s0.3-rho0.4,0,83.76568311781423,89.30814395531547,0.18177868403925695,0.0,4096,252,798013540
Lee Table 7,RC-L-r0.03-s0.3-rho0.4,1,84.4527566993235,92.16401098903978,0.16869104473464583,0.0,4096,252,658159285
Lee Table 7,RC-L-r0.03-s0.3-rho0.4,2,84.51292027210738,94.09663342114752,0.16458696942511458,0.0,4096,252,4226643774
Lee Table 7,RC-L-r0.03-s0.3-rho0.6,0,86.66248249975342,87.83657031758668,0.15184469807988546,0.0,4096,252,1361164154
Lee Table 7,RC-L-r0.03-s0.3-rho0.6,1,86.88293739350084,88.14947075880829,0.1488047800353747,0.0,4096,252,590866164
Lee Table 7,RC-L-r0.03-s0.3-rho0.6,2,86.27382844419796,88.5604488744732,0.15499211815488542,0.0,4096,252,146306139
Lee Table 7,RC-L-r0.04-s0.2-rho0.4,0,94.07458626462684,103.15331876908512,0.05744278328686204,0.0,4096,252,1625266817
Lee Table 7,RC-L-r0.04-s0.2-rho0.4,1,94.03384493099298,103.23228017308159,0.05779350275905971,0.0,4096,252,2391841978
Lee Table 7,RC-L-r0.04-s0.2-rho0.4,2,94.23934414593026,100.72284411598949,0.05719314128417518,0.0,4096,252,3819937292
Lee Table 7,RC-L-r0.04-s0.2-rho0.6,0,94.32983823075499,94.11955298499018,0.06024424882414463,0.0,4096,252,3249873835
Lee Table 7,RC-L-r0.04-s0.2-rho0.6,1,94.46399476740791,93.38109880347656,0.0592840018325634,0.0,4096,252,1915409117
Lee Table 7,RC-L-r0.04-s0.2-rho0.6,2,94.85417132055676,96.03671993990395,0.05358188703928353,0.0,4096,252,2510265419
Lee Table 7,RC-L-r0.04-s0.3-rho0.4,0,83.72486142880429,91.04449411804026,0.17876027242344608,0.0,4096,252,3844656041
Lee Table 7,RC-L-r0.04-s0.3-rho0.4,1,84.24876098151339,93.1423231630952,0.16910936385928113,0.0,4096,252,3235479249
Lee Table 7,RC-L-r0.04-s0.3-rho0.4,2,83.4711846064192,89.9289119657067,0.18379868089456994,0.0,4096,252,2245311168
Lee Table 7,RC-L-r0.04-s0.3-rho0.6,0,85.39172911663168,85.86185530439758,0.17013691157242125,0.0,4096,252,4074536913
Lee Table 7,RC-L-r0.04-s0.3-rho0.6,1,85.50073741938355,85.02411256124255,0.17053118396469802,0.0,4096,252,3426293208
Lee Table 7,RC-L-r0.04-s0.3-rho0.6,2,86.4248563594053,87.35390108805676,0.15540397705776565,0.0,4096,252,3428468284
RC-A sensitivity,RC-A-baseline,0,85.99480646272427,96.82755257740128,0.1446405817815168,0.0,4096,252,632174086
RC-A sensitivity,RC-A-baseline,1,85.3786348317928,96.32049084873043,0.15179911397222626,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-baseline,2,85.46407067614726,97.29218724586737,0.14940489812526211,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-baseline,3,85.32310827930655,97.35180842893729,0.15076136702079818,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-vol-75,0,89.68339383690618,102.55494855210037,0.10059588843587337,0.0,4096,252,632174086
RC-A sensitivity,RC-A-vol-75,1,89.24390467361128,102.5804316047739,0.10485523562457061,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-vol-75,2,89.36145085349544,102.65821258512335,0.10363076541667975,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-vol-75,3,89.26443720368965,103.68730365832639,0.10353787221323169,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-vol-125,0,82.57017260321372,90.42255909223502,0.19275972248260617,0.0,4096,252,632174086
RC-A sensitivity,RC-A-vol-125,1,82.05002406242464,89.9644682162521,0.1995229482647316,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-vol-125,2,82.19419721270363,89.65298180765757,0.19860803766122498,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-vol-125,3,81.8589431463441,89.98901201542077,0.20159191047177177,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-corr-low,0,81.59924963298987,109.94224487249701,0.16736742449046751,0.0,4096,252,632174086
RC-A sensitivity,RC-A-corr-low,1,80.75369868180675,109.35279373043778,0.17600191692986566,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-corr-low,2,80.61261130721482,110.22053764932019,0.17589633571257357,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-corr-low,3,80.64245562892258,108.51043160357736,0.17839339577780508,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-corr-high,0,87.14107640144209,93.26922370224415,0.13786888201845846,0.0,4096,252,632174086
RC-A sensitivity,RC-A-corr-high,1,86.68531211866465,92.36932855492435,0.1441462018793198,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-corr-high,2,86.78342993009724,93.2726203167889,0.14169828214340194,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-corr-high,3,86.62004960682286,93.41029089247267,0.1432385047229881,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-KI-65,0,87.75481242947885,96.82755257740128,0.126463875669404,0.0,4096,252,632174086
RC-A sensitivity,RC-A-KI-65,1,87.06656964567027,96.32049084873043,0.13427496309836548,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-KI-65,2,87.33399172525287,97.29218724586737,0.13018525570546402,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-KI-65,3,87.18355911513436,97.35180842893729,0.13165077353669402,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-KI-85,0,85.65778341952007,96.82755257740128,0.14812123407761602,0.0,4096,252,632174086
RC-A sensitivity,RC-A-KI-85,1,85.10432885543347,96.32049084873043,0.15464696050978305,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-KI-85,2,85.17021639890893,97.29218724586737,0.1524252257132906,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-KI-85,3,85.01929083866045,97.35180842893729,0.15388218671124976,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-autocall-early,0,88.13796107728824,78.51226410406065,0.151085171954661,0.0,4096,252,632174086
RC-A sensitivity,RC-A-autocall-early,1,87.68025546576497,77.98276767258133,0.1579803449136448,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-autocall-early,2,87.45211617834877,79.90973958576541,0.15702571284422534,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-autocall-early,3,87.37530124764372,79.43611847339062,0.1589289481281148,0.0,4096,252,4003352508
RC-A sensitivity,RC-A-autocall-delayed,0,83.12039832430872,125.90121291018016,0.13407020699422045,0.0,4096,252,632174086
RC-A sensitivity,RC-A-autocall-delayed,1,82.7312087070008,124.77445527793057,0.13840005355690466,0.0,4096,252,1034107096
RC-A sensitivity,RC-A-autocall-delayed,2,82.45722544778332,126.77915833431229,0.13837270086583942,0.0,4096,252,3743933553
RC-A sensitivity,RC-A-autocall-delayed,3,82.5948191363623,124.78691709224623,0.13947921199761082,0.0,4096,252,4003352508
