experiment,scenario_id,replications,n_paths_per_replication,steps_per_year,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,fair_coupon_max_abs_residual,fair_coupon_ci95_low,fair_coupon_ci95_high
Lee Table 7,RC-L-r0.03-s0.2-rho0.4,3,4096,252,0.05038388570416411,0.0027045914986840083,0.0015614966298131857,0.0,0.04732335230973027,0.053444419098597956
Lee Table 7,RC-L-r0.03-s0.2-rho0.6,3,4096,252,0.048360393888879215,0.000841229282465124,0.0004856839526814351,0.0,0.0474084533416236,0.04931233443613483
Lee Table 7,RC-L-r0.03-s0.3-rho0.4,3,4096,252,0.17168556606633914,0.008978537261046688,0.005183760904594391,0.0,0.16152539469333413,0.18184573743934415
Lee Table 7,RC-L-r0.03-s0.3-rho0.6,3,4096,252,0.1518805320900485,0.0030938247055224207,0.0017862205265588844,0.0,0.1483795398579931,0.15538152432210392
Lee Table 7,RC-L-r0.04-s0.2-rho0.4,3,4096,252,0.057476475776698975,0.0003015955288709376,0.00017412625978002337,0.0,0.05713518830753013,0.05781776324586782
Lee Table 7,RC-L-r0.04-s0.2-rho0.6,3,4096,252,0.05770337923199718,0.0036014638679514642,0.0020793061336384887,0.0,0.05362793921006574,0.06177881925392861
Lee Table 7,RC-L-r0.04-s0.3-rho0.4,3,4096,252,0.17722277239243237,0.007464377971393989,0.004309560631117432,0.0,0.16877603355544218,0.18566951122942255
Lee Table 7,RC-L-r0.04-s0.3-rho0.6,3,4096,252,0.1653573575316283,0.008622134296270888,0.004977991556941102,0.0,0.15560049408002374,0.17511422098323287
RC-A sensitivity,RC-A-baseline,4,4096,252,0.14915149022495083,0.0031630220440758325,0.0015815110220379163,0.0,0.14605172862175653,0.15225125182814514
RC-A sensitivity,RC-A-vol-75,4,4096,252,0.10315494042258885,0.0018085719067707487,0.0009042859533853743,0.0,0.10138253995395352,0.10492734089122419
RC-A sensitivity,RC-A-vol-125,4,4096,252,0.19812065472008367,0.0037856386632081893,0.0018928193316040947,0.0,0.19441072883013963,0.2018305806100277
RC-A sensitivity,RC-A-corr-low,4,4096,252,0.17441476822767796,0.004837651432537137,0.0024188257162685686,0.0,0.16967386982379157,0.17915566663156435
RC-A sensitivity,RC-A-corr-high,4,4096,252,0.14173796769104208,0.0027702347779153106,0.0013851173889576553,0.0,0.13902313760868507,0.1444527977733991
RC-A sensitivity,RC-A-KI-65,4,4096,252,0.1306437170024819,0.0032599269625018064,0.0016299634812509032,0.0,0.12744898857923012,0.13383844542573367
RC-A sensitivity,RC-A-KI-85,4,4096,252,0.15226890175298485,0.002914643267663791,0.0014573216338318955,0.0,0.14941255135067433,0.15512525215529538
RC-A sensitivity,RC-A-autocall-early,4,4096,252,0.15625504446016147,0.0035330786368081,0.00176653931840405,0.0,0.15279262739608954,0.1597174615242334
RC-A sensitivity,RC-A-autocall-delayed,4,4096,252,0.13758054335364384,0.0023962828487228372,0.0011981414243614186,0.0,0.13523218616189545,0.13992890054539223
