contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,probability_mass_error,scenario_id,replication,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio,redemption_probability_7,redemption_probability_8
RC-L,0.06,104.9118203853458,0.0,6.294709223120748,79.34987639887333,17.091584177679707,13.70004266983726,-1.8240746084578863,94.61738596809515,100.9120951912159,100.9120951912159,0.0,0.962890625,0.18701171875,0.051306077924625354,0.0,2048,126,378,2259644138,0.19301390001783147,1.0,1.0,1.0,0.56494140625,0.10205078125,0.0712890625,0.03369140625,0.041015625,0.017578125,0.0,RC-L-monitor-126,0,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-L,0.06,111.30407680226685,0.0,6.67824460813601,76.89305618968078,19.367487031626617,16.199073254563274,-1.7042112000301226,94.55633202127727,101.23457662941328,101.2345766294133,-1.4210854715202004e-14,0.96533203125,0.2119140625,0.04890807358650013,0.0,2048,126,378,3255722964,0.18316929996944964,1.0,1.0,1.0,0.5439453125,0.087890625,0.0791015625,0.04248046875,0.03466796875,0.01806640625,0.0,RC-L-monitor-126,1,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-L,0.06,110.97228591036361,0.0,6.658337154621816,76.88760000829569,19.412112577782437,16.511452077654024,-1.5283626707906457,94.77134991528749,101.4296870699093,101.4296870699093,0.0,0.96826171875,0.21240234375,0.04711671965499463,0.0,2048,126,378,1920368598,0.1530178000102751,1.0,1.0,1.0,0.5546875,0.091796875,0.0732421875,0.02685546875,0.041015625,0.01953125,0.0,RC-L-monitor-126,2,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-A,0.0875,96.56576848167121,0.0,8.44950474214623,60.81711279254898,34.32876853979333,3.28010484738863,-8.95721464559145,86.18866668675086,94.6381714288971,94.6381714288971,0.0,0.619140625,0.373046875,0.14302514783870449,0.0,2048,126,261,3168844149,0.12636370002292097,1.0,1.0,1.0,0.0,0.3779296875,0.09716796875,0.0615234375,0.037109375,0.0322265625,0.0,RC-A-monitor-126,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,0.02099609375,0.02490234375
RC-A,0.0875,95.74205170155554,0.0,8.377429523886109,60.84618205044959,34.28383559667843,2.7409095300096773,-9.376070033683646,85.75394761344438,94.13137713733049,94.13137713733049,0.0,0.61328125,0.37255859375,0.14879618864825475,0.0,2048,126,261,2241758460,0.1033859999733977,1.0,1.0,1.0,0.0,0.3759765625,0.09375,0.06201171875,0.04443359375,0.02294921875,0.0,RC-A-monitor-126,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,0.0283203125,0.0244140625
RC-A,0.0875,95.91306147331935,0.0,8.392392878915443,60.81607328198882,34.32876853979334,3.3250377905035426,-9.193591676592515,85.95125014518965,94.34364302410509,94.34364302410509,0.0,0.6220703125,0.373046875,0.14647379240124006,0.0,2048,126,261,3955566437,0.1052604999858886,1.0,1.0,1.0,0.0,0.3876953125,0.09228515625,0.05029296875,0.0390625,0.03125,0.0,RC-A-monitor-126,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,0.0263671875,0.02294921875
RC-L,0.06,106.62053919298992,0.0,6.397232351579395,78.34723169248481,18.07334619310778,15.038809054511908,-1.6322941534188937,94.7882837321737,101.18551608375309,101.18551608375309,0.0,0.966796875,0.19775390625,0.04888097834876606,0.0,2048,252,756,3008054939,0.3089832999976352,1.0,1.0,1.0,0.56884765625,0.09423828125,0.07666015625,0.0263671875,0.0361328125,0.02001953125,0.0,RC-L-monitor-252,0,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-L,0.06,109.48537800601218,0.0,6.5691226803607305,77.61971018349203,18.69810383928929,15.529690062225947,-1.7301528151647139,94.5876612076166,101.15678388797734,101.15678388797734,0.0,0.96533203125,0.20458984375,0.04943435270494464,0.0,2048,252,756,3967771818,0.26829039998119697,1.0,1.0,1.0,0.55322265625,0.08837890625,0.08203125,0.03076171875,0.041015625,0.0185546875,0.0,RC-L-monitor-252,1,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-L,0.06,106.75348360367525,0.0,6.405209016220515,78.25638724002101,18.117971739263606,14.637179139109513,-1.877348651889442,94.49701032739517,100.90221934361568,100.90221934361568,0.0,0.9619140625,0.1982421875,0.051548572344812665,0.0,2048,252,756,2611666567,0.28786380001110956,1.0,1.0,1.0,0.56298828125,0.08837890625,0.08056640625,0.02783203125,0.0419921875,0.02197265625,0.0,RC-L-monitor-252,2,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45,,
RC-A,0.0875,97.81814435344032,0.0,8.559087630926028,58.46520736786167,36.57541569553897,3.3699707336184557,-9.4494153403606,85.59120772304004,94.15029535396607,94.15029535396606,1.4210854715202004e-14,0.59765625,0.3974609375,0.14730183620022017,0.0,2048,252,514,2267344579,0.2031291999737732,1.0,1.0,1.0,0.0,0.3671875,0.091796875,0.06103515625,0.03857421875,0.0224609375,0.0,RC-A-monitor-252,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,0.021484375,0.0234375
