interval_index,observation_time,path_index,production_p3,reference_p3,p3_error,production_nested_direct_p3,reference_nested_direct_p3,nested_direct_p3_error,production_q3,reference_q3,q3_error,production_q3_controlled_raw,reference_q3_controlled_raw,q3_controlled_raw_error,production_q3_nested_direct,reference_q3_nested_direct,q3_nested_direct_error,production_projection_abs,reference_bernoulli_se_proxy
1,0.26301369863013696,0,0.5394075190293511,0.5394075190293511,0.0,0.796875,0.6806640625,0.1162109375,0.0005332598899090435,0.0005332598899090435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005332598899090435,0.0
1,0.26301369863013696,10,0.9999916564966118,0.9999916564966118,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,21,0.9999924814242436,0.9999924814242436,0.0,1.0,1.0,0.0,2.2893671082920316e-10,2.2893671082920316e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2893671082920316e-10,0.0
1,0.26301369863013696,32,0.02923025735733945,0.02923025735733945,0.0,0.5859375,0.354248046875,0.231689453125,7.275734301415149e-05,7.275734301415149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.275734301415149e-05,0.0
1,0.26301369863013696,43,0.9998547399078704,0.9998547399078704,0.0,1.0,1.0,0.0,4.3262550535374854e-08,4.3262550535374854e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3262550535374854e-08,0.0
1,0.26301369863013696,54,0.9999986118052222,0.9999986118052222,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,66,0.999872400099637,0.999872400099637,0.0,1.0,1.0,0.0,2.6712506563735264e-09,2.6712506563735264e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6712506563735264e-09,0.0
1,0.26301369863013696,77,0.999989550743244,0.999989550743244,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,87,0.9940921240829895,0.9940921240829895,0.0,0.99609375,0.995361328125,0.000732421875,5.52704130707011e-07,5.52704130707011e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52704130707011e-07,0.0
1,0.26301369863013696,98,0.9997469596439175,0.9997469596439175,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,109,0.99997319385649,0.99997319385649,0.0,1.0,1.0,0.0,1.5412660500950714e-09,1.5412660500950714e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5412660500950714e-09,0.0
1,0.26301369863013696,120,0.9871522320375401,0.9871522320375401,0.0,0.98828125,0.990234375,-0.001953125,3.6391106590837904e-06,3.6391106590837904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6391106590837904e-06,0.0
1,0.26301369863013696,132,0.9972503809736627,0.9972503809736627,0.0,1.0,0.997802734375,0.002197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,143,0.9440254333170117,0.9440254333170117,0.0,0.96875,0.963134765625,0.005615234375,2.541932394373888e-05,2.541932394373888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541932394373888e-05,0.0
1,0.26301369863013696,154,0.9999384485258253,0.9999384485258253,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,165,0.9999476023536636,0.9999476023536636,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,175,0.9989472883345923,0.9989472883345923,0.0,1.0,0.9990234375,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,186,0.9999143640532532,0.9999143640532532,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,199,0.9953825769003173,0.9953825769003173,0.0,0.99609375,0.995361328125,0.000732421875,2.633252801143015e-06,2.633252801143015e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.633252801143015e-06,0.0
