scenario,method,greek,asset,asset_index,active_asset,bump,bump_label,reported_unit,replications,estimate_mean,estimate_sd,runtime_seconds_mean,estimate_se
near-KI,M0,Delta,asset_1,1,True,0.001,0.10% spot,PV per 1% relative spot move,4,1.1989107994589965,0.27501831378545555,0.1286345000116853,0.13750915689272777
near-KI,M0,Delta,asset_1,1,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.9303310646495149,0.1697391671718456,0.12307194997265469,0.0848695835859228
near-KI,M0,Delta,asset_1,1,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.9395883999015702,0.13019968730309867,0.12166387501929421,0.06509984365154933
near-KI,M0,Delta,asset_1,1,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.8609711355001561,0.08304385188594579,0.12007299999822862,0.041521925942972895
near-KI,M0,Gamma,asset_1,1,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,-2.8865709822664343,2.931453269563939,0.1286345000116853,1.4657266347819695
near-KI,M0,Gamma,asset_1,1,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-1.0740914696728507,0.7241427207283072,0.12307194997265469,0.3620713603641536
near-KI,M0,Gamma,asset_1,1,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.33890191678050025,0.2145817878714019,0.12166387501929421,0.10729089393570095
near-KI,M0,Gamma,asset_1,1,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.02682894359204723,0.08099446291450299,0.12007299999822862,0.040497231457251495
near-KI,M0,Vega,asset_1,1,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.407498945306628,0.12539902047301166,0.12317090001306497,0.06269951023650583
near-KI,M0,Vega,asset_1,1,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.3761395206242142,0.08851803079693613,0.1309058750193799,0.04425901539846806
near-KI,M0,Vega,asset_1,1,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.37683345875639773,0.08455045114458332,0.12701312502031215,0.04227522557229166
near-KI,M3,Delta,asset_1,1,True,0.001,0.10% spot,PV per 1% relative spot move,4,0.8398072240366615,0.25098864709807317,1.166489274983178,0.12549432354903658
near-KI,M3,Delta,asset_1,1,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.8217566097037547,0.14046561020882647,1.1427861000120174,0.07023280510441324
near-KI,M3,Delta,asset_1,1,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.7750059686377462,0.09928665093773067,1.138360750002903,0.04964332546886534
near-KI,M3,Delta,asset_1,1,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.7517573877609944,0.07125990850846337,1.1193146250006976,0.03562995425423168
near-KI,M3,Gamma,asset_1,1,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,-2.1855313325289667,2.901636307847299,1.166489274983178,1.4508181539236495
near-KI,M3,Gamma,asset_1,1,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.5432425653204973,0.29126421958837495,1.1427861000120174,0.14563210979418748
near-KI,M3,Gamma,asset_1,1,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.2390622901368857,0.10453207622494337,1.138360750002903,0.052266038112471686
near-KI,M3,Gamma,asset_1,1,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.11954565621728007,0.07649934313246702,1.1193146250006976,0.03824967156623351
near-KI,M3,Vega,asset_1,1,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.40634168486377575,0.056653272261228786,1.2265850500116358,0.028326636130614393
near-KI,M3,Vega,asset_1,1,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.39364726366013514,0.047335524580268226,1.2581540000101086,0.023667762290134113
near-KI,M3,Vega,asset_1,1,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.3659149833882811,0.04945441575599004,1.2588500999845564,0.02472720787799502
near-autocall,M0,Delta,asset_3,3,True,0.001,0.10% spot,PV per 1% relative spot move,4,0.8580347367790964,0.600142814356494,0.10620547497819643,0.300071407178247
near-autocall,M0,Delta,asset_3,3,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.9038278425787424,0.13126100242184058,0.10591867497714702,0.06563050121092029
near-autocall,M0,Delta,asset_3,3,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.8521987162828494,0.12112434524786068,0.11232442499022,0.06056217262393034
near-autocall,M0,Delta,asset_3,3,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.8049099406856327,0.19102859024431795,0.11155197501648217,0.09551429512215898
near-autocall,M0,Gamma,asset_3,3,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,2.6856305571037353,11.851830495870297,0.10620547497819643,5.925915247935149
near-autocall,M0,Gamma,asset_3,3,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,0.35539138282371135,0.8381901211030156,0.10591867497714702,0.4190950605515078
near-autocall,M0,Gamma,asset_3,3,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.6299720768805342,0.5797776692037118,0.11232442499022,0.2898888346018559
near-autocall,M0,Gamma,asset_3,3,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.2840314530590717,0.25055256231376344,0.11155197501648217,0.12527628115688172
near-autocall,M0,Vega,asset_3,3,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.18505259031301335,0.06620162236123343,0.11044507499900647,0.03310081118061672
near-autocall,M0,Vega,asset_3,3,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.15478013676164792,0.05256741392504004,0.1121773249906255,0.02628370696252002
near-autocall,M0,Vega,asset_3,3,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.16170512552934646,0.035700930048332045,0.10869827501301188,0.017850465024166023
near-autocall,M3,Delta,asset_3,3,True,0.001,0.10% spot,PV per 1% relative spot move,4,1.0564905082018683,0.5924486481084397,0.6047573500109138,0.29622432405421983
near-autocall,M3,Delta,asset_3,3,True,0.0025,0.25% spot,PV per 1% relative spot move,4,1.0202263438386723,0.16231132651566527,0.5996276500081876,0.08115566325783263
near-autocall,M3,Delta,asset_3,3,True,0.005,0.50% spot,PV per 1% relative spot move,4,1.2494357854415907,0.35396758066825906,0.6022671249957057,0.17698379033412953
near-autocall,M3,Delta,asset_3,3,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.9143863388162109,0.2436042229480019,0.6130331750027835,0.12180211147400095
near-autocall,M3,Gamma,asset_3,3,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,1.8200966421822784,12.39454927291181,0.6047573500109138,6.197274636455905
near-autocall,M3,Gamma,asset_3,3,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,1.4519625073820632,3.8755562557764756,0.5996276500081876,1.9377781278882378
near-autocall,M3,Gamma,asset_3,3,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.9019061544215671,1.5508237537988798,0.6022671249957057,0.7754118768994399
near-autocall,M3,Gamma,asset_3,3,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.5049228090011652,0.39823183415539753,0.6130331750027835,0.19911591707769877
near-autocall,M3,Vega,asset_3,3,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.16562281916304755,0.0469653078994702,0.6036829500080785,0.0234826539497351
near-autocall,M3,Vega,asset_3,3,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.17568432398224587,0.02944446006226533,0.6107339250011137,0.014722230031132665
near-autocall,M3,Vega,asset_3,3,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.15735740754170813,0.03050309734623584,0.5914006999810226,0.01525154867311792
