bank_variant,bridge_bank_seed,replication,greek,estimate_reported
0,849505815,0,Delta,0.8454953203818008
0,849505815,0,Gamma,-0.11056939151461619
0,849505815,1,Delta,0.6447638352669145
0,849505815,1,Gamma,-0.3356374695139834
0,849505815,2,Delta,0.750768785863073
0,849505815,2,Gamma,-0.311741094270701
1,737967573,0,Delta,0.8454953203818008
1,737967573,0,Gamma,-0.11056939151461619
1,737967573,1,Delta,0.6447638352669145
1,737967573,1,Gamma,-0.3356374695139834
1,737967573,2,Delta,0.750768785863073
1,737967573,2,Gamma,-0.311741094270701
2,622687615,0,Delta,0.8454953203818008
2,622687615,0,Gamma,-0.11056939151461619
2,622687615,1,Delta,0.6447646175855652
2,622687615,1,Gamma,-0.3356362399777026
2,622687615,2,Delta,0.750768785863073
2,622687615,2,Gamma,-0.311741094270701
