scenario,method,replication,asset,asset_index,bump,bump_label,active_asset,runtime_seconds,pricing_seed,bridge_bank_seed,greek,estimate_raw,estimate_reported,reported_unit
near-KI,M0,0,asset_1,1,0.001,0.10% spot,True,0.12745849997736514,2491452401,242366888,Delta,181.12950776024928,1.385640734365907,PV per 1% relative spot move
near-KI,M0,0,asset_1,1,0.001,0.10% spot,True,0.12745849997736514,2491452401,242366888,Gamma,11792.816791856156,0.6901451207014019,PV per squared 1% relative spot move
near-KI,M0,0,asset_1,1,0.0025,0.25% spot,True,0.11171230004401878,2491452401,242366888,Delta,111.0344066823838,0.8494132111202362,PV per 1% relative spot move
near-KI,M0,0,asset_1,1,0.0025,0.25% spot,True,0.11171230004401878,2491452401,242366888,Gamma,-2484.5263847465017,-0.14540069535132713,PV per squared 1% relative spot move
near-KI,M0,0,asset_1,1,0.005,0.50% spot,True,0.11026919999858364,2491452401,242366888,Delta,103.66640629368975,0.7930480081467266,PV per 1% relative spot move
near-KI,M0,0,asset_1,1,0.005,0.50% spot,True,0.11026919999858364,2491452401,242366888,Gamma,-4275.995256810859,-0.2502419324167135,PV per squared 1% relative spot move
near-KI,M0,0,asset_1,1,0.01,1.00% spot,True,0.10621450003236532,2491452401,242366888,Delta,108.73614535755087,0.8318315119852642,PV per 1% relative spot move
near-KI,M0,0,asset_1,1,0.01,1.00% spot,True,0.10621450003236532,2491452401,242366888,Gamma,229.66266877872462,0.013440433533602912,PV per squared 1% relative spot move
near-KI,M0,0,asset_2,2,0.001,0.10% spot,False,0.10361129994271323,2491452401,242366888,Delta,2.991929908667146,0.029919299086671458,PV per 1% relative spot move
near-KI,M0,0,asset_2,2,0.001,0.10% spot,False,0.10361129994271323,2491452401,242366888,Gamma,-1.4210854715202004e-08,-1.4210854715202004e-12,PV per squared 1% relative spot move
near-KI,M0,0,asset_2,2,0.0025,0.25% spot,False,0.11892499995883554,2491452401,242366888,Delta,3.5333827718204702,0.0353338277182047,PV per 1% relative spot move
near-KI,M0,0,asset_2,2,0.0025,0.25% spot,False,0.11892499995883554,2491452401,242366888,Gamma,433.1622905237964,0.04331622905237964,PV per squared 1% relative spot move
near-KI,M0,0,asset_2,2,0.005,0.50% spot,False,0.11916160001419485,2491452401,242366888,Delta,3.2381505779937925,0.032381505779937925,PV per 1% relative spot move
near-KI,M0,0,asset_2,2,0.005,0.50% spot,False,0.11916160001419485,2491452401,242366888,Gamma,89.74003843263745,0.008974003843263745,PV per squared 1% relative spot move
near-KI,M0,0,asset_2,2,0.01,1.00% spot,False,0.12017990002641454,2491452401,242366888,Delta,3.085157602851041,0.030851576028510408,PV per 1% relative spot move
near-KI,M0,0,asset_2,2,0.01,1.00% spot,False,0.12017990002641454,2491452401,242366888,Gamma,5.131044955817288,0.0005131044955817288,PV per squared 1% relative spot move
near-KI,M0,0,asset_3,3,0.001,0.10% spot,False,0.12101679999614134,2491452401,242366888,Delta,3.5963111216261723,0.03596311121626172,PV per 1% relative spot move
near-KI,M0,0,asset_3,3,0.001,0.10% spot,False,0.12101679999614134,2491452401,242366888,Gamma,-54.69470593766346,-0.005469470593766346,PV per squared 1% relative spot move
near-KI,M0,0,asset_3,3,0.0025,0.25% spot,False,0.11803670000517741,2491452401,242366888,Delta,6.835654211943165,0.06835654211943165,PV per 1% relative spot move
near-KI,M0,0,asset_3,3,0.0025,0.25% spot,False,0.11803670000517741,2491452401,242366888,Gamma,1183.7793482800407,0.11837793482800407,PV per squared 1% relative spot move
near-KI,M0,0,asset_3,3,0.005,0.50% spot,False,0.10800439998274669,2491452401,242366888,Delta,5.21220254411503,0.0521220254411503,PV per 1% relative spot move
near-KI,M0,0,asset_3,3,0.005,0.50% spot,False,0.10800439998274669,2491452401,242366888,Gamma,266.93529945532646,0.026693529945532646,PV per squared 1% relative spot move
near-KI,M0,0,asset_3,3,0.01,1.00% spot,False,0.1150777000002563,2491452401,242366888,Delta,4.531775986821174,0.04531775986821174,PV per 1% relative spot move
near-KI,M0,0,asset_3,3,0.01,1.00% spot,False,0.1150777000002563,2491452401,242366888,Gamma,75.86976888092067,0.007586976888092067,PV per squared 1% relative spot move
near-KI,M0,0,parallel,0,0.001,0.10% parallel spot,False,0.10957719996804371,2491452401,242366888,Parallel Gamma,6956.207538593162,0.6956207538593162,PV per squared 1% parallel relative spot move
near-KI,M0,0,parallel,0,0.0025,0.25% parallel spot,False,0.12960169999860227,2491452401,242366888,Parallel Gamma,201.76594305894469,0.02017659430589447,PV per squared 1% parallel relative spot move
near-KI,M0,0,parallel,0,0.005,0.50% parallel spot,False,0.10940479999408126,2491452401,242366888,Parallel Gamma,-2079.2591527538207,-0.20792591527538207,PV per squared 1% parallel relative spot move
near-KI,M0,0,parallel,0,0.01,1.00% parallel spot,False,0.10447910003131256,2491452401,242366888,Parallel Gamma,323.58043724968866,0.032358043724968866,PV per squared 1% parallel relative spot move
near-KI,M0,0,asset_1,1,0.0025,0.25 vol points,True,0.1104904999374412,2491452401,242366888,Vega,-49.33605117294064,-0.4933605117294064,PV per 1 volatility point
near-KI,M0,0,asset_1,1,0.005,0.50 vol points,True,0.12842270004330203,2491452401,242366888,Vega,-37.81455053609193,-0.3781455053609193,PV per 1 volatility point
near-KI,M0,0,asset_1,1,0.01,1.00 vol points,True,0.12333440000656992,2491452401,242366888,Vega,-28.905558265841336,-0.28905558265841336,PV per 1 volatility point
near-KI,M0,0,asset_2,2,0.0025,0.25 vol points,False,0.10342310002306476,2491452401,242366888,Vega,-8.303841574709736,-0.08303841574709736,PV per 1 volatility point
near-KI,M0,0,asset_2,2,0.005,0.50 vol points,False,0.11866470001405105,2491452401,242366888,Vega,-7.99120734054668,-0.0799120734054668,PV per 1 volatility point
near-KI,M0,0,asset_2,2,0.01,1.00 vol points,False,0.1309120999649167,2491452401,242366888,Vega,-7.987167599750933,-0.07987167599750933,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.0025,0.25 vol points,False,0.14230219996534288,2491452401,242366888,Vega,-10.622957219223395,-0.10622957219223395,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.005,0.50 vol points,False,0.13030680001247674,2491452401,242366888,Vega,-8.91200244832362,-0.0891200244832362,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.01,1.00 vol points,False,0.11502309993375093,2491452401,242366888,Vega,-9.034069977455772,-0.09034069977455772,PV per 1 volatility point
near-KI,M0,0,parallel,0,0.0025,0.25 parallel vol points,False,0.11777840001741424,2491452401,242366888,Parallel Vega,-68.23954652141424,-0.6823954652141424,PV per 1 parallel volatility point
