scenario,method,greek,asset,asset_index,active_asset,bump,bump_label,reported_unit,replications,estimate_mean,estimate_sd,runtime_seconds_mean,estimate_se
near-KI,M0,Delta,asset_1,1,True,0.001,0.10% spot,PV per 1% relative spot move,4,1.1989107994589965,0.27501831378545555,0.1286345000116853,0.13750915689272777
near-KI,M0,Delta,asset_1,1,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.9303310646495149,0.1697391671718456,0.12307194997265469,0.0848695835859228
near-KI,M0,Delta,asset_1,1,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.9395883999015702,0.13019968730309867,0.12166387501929421,0.06509984365154933
near-KI,M0,Delta,asset_1,1,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.8609711355001561,0.08304385188594579,0.12007299999822862,0.041521925942972895
near-KI,M0,Delta,asset_2,2,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.03357421493998203,0.003774433840949333,0.12176482497307006,0.0018872169204746665
near-KI,M0,Delta,asset_2,2,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.034780473802889844,0.00258683854736014,0.12751422499422915,0.00129341927368007
near-KI,M0,Delta,asset_2,2,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.034006210053910024,0.0026452269788520334,0.13043957500485703,0.0013226134894260167
near-KI,M0,Delta,asset_2,2,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.034054905632789456,0.003046218742120156,0.12740020001365338,0.001523109371060078
near-KI,M0,Delta,asset_3,3,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.042740483633654236,0.020079549977145558,0.14790872498997487,0.010039774988572779
near-KI,M0,Delta,asset_3,3,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.051105226607639054,0.013971175944314617,0.13360757498594467,0.006985587972157308
near-KI,M0,Delta,asset_3,3,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.04095647343799769,0.007944858487550636,0.12999262500670739,0.003972429243775318
near-KI,M0,Delta,asset_3,3,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.0428736690566236,0.008798702798094821,0.13039387502067257,0.004399351399047411
near-KI,M0,Gamma,asset_1,1,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,-2.8865709822664343,2.931453269563939,0.1286345000116853,1.4657266347819695
near-KI,M0,Gamma,asset_1,1,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-1.0740914696728507,0.7241427207283072,0.12307194997265469,0.3620713603641536
near-KI,M0,Gamma,asset_1,1,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.33890191678050025,0.2145817878714019,0.12166387501929421,0.10729089393570095
near-KI,M0,Gamma,asset_1,1,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.02682894359204723,0.08099446291450299,0.12007299999822862,0.040497231457251495
near-KI,M0,Gamma,asset_2,2,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,-0.004967375995335033,0.005744078791861942,0.12176482497307006,0.002872039395930971
near-KI,M0,Gamma,asset_2,2,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,0.0071774836264353326,0.024434970317825353,0.12751422499422915,0.012217485158912677
near-KI,M0,Gamma,asset_2,2,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.001056814147972318,0.007039008227339323,0.13043957500485703,0.0035195041136696615
near-KI,M0,Gamma,asset_2,2,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.004433043855009089,0.0035432201268578768,0.12740020001365338,0.0017716100634289384
near-KI,M0,Gamma,asset_3,3,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,0.18821822728476434,0.39448345115655636,0.14790872498997487,0.19724172557827818
near-KI,M0,Gamma,asset_3,3,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,0.10547434174242198,0.08298770828225012,0.13360757498594467,0.04149385414112506
near-KI,M0,Gamma,asset_3,3,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,0.026650240999757102,0.02817781889510569,0.12999262500670739,0.014088909447552846
near-KI,M0,Gamma,asset_3,3,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,0.014937902102655443,0.027284433699643913,0.13039387502067257,0.013642216849821956
near-KI,M0,Parallel Gamma,parallel,0,False,0.001,0.10% parallel spot,PV per squared 1% parallel relative spot move,4,-2.6803147253367854,2.6721579850752204,0.1318785749899689,1.3360789925376102
near-KI,M0,Parallel Gamma,parallel,0,False,0.0025,0.25% parallel spot,PV per squared 1% parallel relative spot move,4,-0.944584100485713,0.7492905402645859,0.16014445001201238,0.37464527013229293
near-KI,M0,Parallel Gamma,parallel,0,False,0.005,0.50% parallel spot,PV per squared 1% parallel relative spot move,4,-0.2989134092111527,0.21940492143486456,0.16128655000647996,0.10970246071743228
near-KI,M0,Parallel Gamma,parallel,0,False,0.01,1.00% parallel spot,PV per squared 1% parallel relative spot move,4,0.0070591479497466025,0.09397900576669359,0.1295517250400735,0.046989502883346794
near-KI,M0,Parallel Vega,parallel,0,False,0.0025,0.25 parallel vol points,PV per 1 parallel volatility point,4,-0.5873397120917332,0.13257750331398785,0.11752444999001455,0.06628875165699392
near-KI,M0,Parallel Vega,parallel,0,False,0.005,0.50 parallel vol points,PV per 1 parallel volatility point,4,-0.5567358230145913,0.08682282296967336,0.11427157501748297,0.04341141148483668
near-KI,M0,Parallel Vega,parallel,0,False,0.01,1.00 parallel vol points,PV per 1 parallel volatility point,4,-0.558773022448829,0.08594711085443298,0.12344147499243263,0.04297355542721649
near-KI,M0,Vega,asset_1,1,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.407498945306628,0.12539902047301166,0.12317090001306497,0.06269951023650583
near-KI,M0,Vega,asset_1,1,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.3761395206242142,0.08851803079693613,0.1309058750193799,0.04425901539846806
near-KI,M0,Vega,asset_1,1,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.37683345875639773,0.08455045114458332,0.12701312502031215,0.04227522557229166
near-KI,M0,Vega,asset_2,2,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.08985641387253196,0.005206980393207701,0.12389380000240635,0.0026034901966038504
near-KI,M0,Vega,asset_2,2,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.08853821123135575,0.0059549694071866785,0.12103067502903286,0.0029774847035933393
near-KI,M0,Vega,asset_2,2,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.09020541750005862,0.006964402828227368,0.12446167500456795,0.003482201414113684
near-KI,M0,Vega,asset_3,3,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.09005746199028408,0.01282777135475196,0.12236500000290107,0.00641388567737598
near-KI,M0,Vega,asset_3,3,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.09204045614707113,0.012069175209146835,0.12732957501430064,0.0060345876045734175
near-KI,M0,Vega,asset_3,3,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.09150520456670641,0.009502370856892244,0.12543284997809678,0.004751185428446122
near-KI,M3,Delta,asset_1,1,True,0.001,0.10% spot,PV per 1% relative spot move,4,0.8398072240366615,0.25098864709807317,1.166489274983178,0.12549432354903658
near-KI,M3,Delta,asset_1,1,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.8217566097037547,0.14046561020882647,1.1427861000120174,0.07023280510441324
near-KI,M3,Delta,asset_1,1,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.7750059686377462,0.09928665093773067,1.138360750002903,0.04964332546886534
near-KI,M3,Delta,asset_1,1,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.7517573877609944,0.07125990850846337,1.1193146250006976,0.03562995425423168
near-KI,M3,Delta,asset_2,2,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.03890110075209563,0.01692490314426541,1.111310024978593,0.008462451572132705
near-KI,M3,Delta,asset_2,2,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.037768392734221834,0.011111285467002283,1.1362455250055064,0.005555642733501141
near-KI,M3,Delta,asset_2,2,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.037741543757853435,0.006631642001848505,1.1535231250018114,0.0033158210009242525
near-KI,M3,Delta,asset_2,2,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.04472609530657934,0.015365046753571938,1.1696858250070363,0.007682523376785969
near-KI,M3,Delta,asset_3,3,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.03693421182202172,0.0035377551482283645,1.1260091500007547,0.0017688775741141823
near-KI,M3,Delta,asset_3,3,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.03704384563743446,0.00369975771157101,1.132716749983956,0.001849878855785505
