method,n_paths,replications,runtime_median_seconds,runtime_p10_seconds,runtime_p90_seconds,total_value_mean,total_value_sd,total_value_se,total_value_bias,total_value_rmse,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,fair_coupon_bias,fair_coupon_rmse,coupon_value_mean,coupon_value_sd,coupon_value_se,coupon_value_bias,coupon_value_rmse,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,early_redemption_principal_bias,early_redemption_principal_rmse,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,surviving_notional_bias,surviving_notional_rmse,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,terminal_ki_loss_bias,terminal_ki_loss_rmse,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,continuous_ki_survival_probability_bias,continuous_ki_survival_probability_rmse,variance_times_cost,canonical_efficiency,m0_canonical_efficiency,relative_cost_efficiency_vs_m0,pareto_frontier
M0,1024,16,0.0703138999815564,0.06359055000939405,0.09253499997430481,99.35191026927326,0.22853160559609673,0.05713290139902418,0.015022438406049332,0.2217841292557308,0.09661849245422517,0.0031572378553561893,0.0007893094638390473,-0.00023119866172037484,0.003065712684967324,6.202070969201852,0.11249286731383963,0.028123216828459908,-0.0037351912949157295,0.10898477657782381,82.8708898121642,1.058337904593277,0.26458447614831926,-0.02226623523101523,1.0249731511174187,13.833729861503759,1.0014940523977554,0.25037351309943884,0.015986883731965662,0.9698242218968253,-3.5547803735965453,0.25207196816722743,0.06301799204180686,0.025036981200023956,0.2453484465863374,0.852783203125,0.009370251618667207,0.002342562904666802,0.008095490195008437,0.012159398666557988,0.0036722625914638574,272.31168117565755,272.31168117565755,1.0,True
M1,1024,16,0.10504550000769085,0.09871444999589579,0.11678549999487581,99.41540075718163,0.2024815221372609,0.050620380534315224,0.07851292631441709,0.21118859694604175,0.09569025782296176,0.0028012923340770823,0.0007003230835192706,-0.0011594332929837914,0.0029497579359208967,6.236886732609357,0.08961681746978685,0.022404204367446712,0.031080572112589522,0.0921695587649234,82.86315672858106,0.7793810566960843,0.19484526417402107,-0.029999318814148523,0.755228517532921,13.839346479393123,0.7432294541650241,0.18580736354125602,0.021603501621330068,0.7199530237971017,-3.5239891834019077,0.2148901985246285,0.05372254963115713,0.05582817139466156,0.21542625142807878,0.85369873046875,0.008440112427720489,0.002110028106930122,0.009011017538758437,0.012164773580479783,0.0043067359589423525,232.19440651420382,272.31168117565755,0.8526788329892625,True
M2,1024,16,0.27850020001642406,0.2710243500187062,0.2863283999904524,99.18909170765036,0.29928645291489536,0.07482161322872384,-0.14779612321684965,0.32529648189023375,0.09896678620888152,0.004091905537315504,0.001022976384328876,0.0021170950929359778,0.004492137784613507,6.163945607881802,0.15039781131712704,0.03759945282928176,-0.04186055261496602,0.15151926828344672,82.80066477220068,1.4370878363767299,0.35927195909418247,-0.09249127519453282,1.3945249172595273,13.912362511954857,1.3522626276761185,0.3380656569190296,0.09461953418306379,1.3127370955642435,-3.6878811843869745,0.3185871107124585,0.07964677767811462,-0.10806382959040528,0.3268515399739603,0.8431193753574733,0.01506473548556202,0.003766183871390505,-0.0015683375725182858,0.014670439565268723,0.024945925996146118,40.086705947676165,272.31168117565755,0.14720891066666292,False
M3,1024,16,0.2844009500113316,0.27869894998730155,0.29771420001634397,99.33761600651324,0.16001651379318488,0.04000412844829622,0.0007281756460315592,0.15493703441523665,0.09682855933894118,0.0022664755289673348,0.0005666188822418337,-2.113177700437119e-05,0.002194607235405492,6.214683551402248,0.03450444490637371,0.008626111226593427,0.008877390905480453,0.03456812104659614,82.87501091639785,0.4224734861919997,0.10561837154799993,-0.01814513099735393,0.4094604399764175,13.83372986150376,0.4104668007378655,0.10261670018446638,0.01598688373196744,0.3977541801196932,-3.585808322790612,0.14850553461135338,0.037126383652838345,-0.005990967994042862,0.1439146175500313,0.8447451242489821,0.004793742359609863,0.0011984355899024657,5.741131899050789e-05,0.004641876130049281,0.007282167290158176,137.32175603154525,272.31168117565755,0.50428154766877,False
M0,4096,16,0.10760799999115986,0.10653435002313924,0.11746984993806106,99.3955278430017,0.29800370393841497,0.07450092598460374,0.05864001213448944,0.29443924774320357,0.09603593552492207,0.004190155527264935,0.0010475388818162337,-0.0008137555910234795,0.004137905725807931,6.190280924491894,0.05141214939088584,0.01285303734772146,-0.015525236004873655,0.052144429126569795,83.03202215568709,0.7388810484484284,0.1847202621121071,0.13886610829187873,0.7287711743432321,13.68488948743561,0.7021086885261755,0.17552717213154387,-0.1328534903361831,0.6926737126829309,-3.5116647246128925,0.28201162900650234,0.07050290725162559,0.06815263018367679,0.2814332602321958,0.855621337890625,0.007210970717684584,0.001802742679421146,0.010933624960633437,0.012972755000495636,0.009556258382440588,104.64346609102552,104.64346609102552,1.0,False
M1,4096,16,0.21048125001834705,0.20333444999414496,0.21893850000924425,99.37973226901195,0.11112233319885997,0.027780583299714993,0.04284443814474059,0.1158104399742263,0.09626474349435996,0.0016079469209490005,0.0004019867302372501,-0.0005849476215855909,0.0016631487273545806,6.197154115006825,0.05657025591871077,0.014142563979677692,-0.008652045489943028,0.055453039862114,82.91725162378779,0.3242254612227826,0.08105636530569565,0.02409557639258253,0.3148533184678956,13.795817690750553,0.3040280330535597,0.07600700826338992,-0.02192528702124008,0.2951892575759307,-3.530491160533213,0.09212598707832198,0.023031496769580495,0.04932619426335627,0.1019304718531919,0.85467529296875,0.0030939466625861107,0.0007734866656465277,0.009987580038758437,0.010427175042148316,0.0025990588749190665,384.75465471367573,104.64346609102552,3.676814894290598,False
M2,4096,16,0.9406055499857755,0.9231868500064593,0.9819561500044074,99.26119718913571,0.2569583198084137,0.06423957995210343,-0.07569064173149798,0.26005754696233613,0.09791009436577575,0.0036097498530992143,0.0009024374632748036,0.0010604032498301996,0.0036524451644177227,6.2068793667061986,0.054418148455764585,0.013604537113941146,0.0010732062094307437,0.05270107420951674,82.77036603676444,0.6901739317463516,0.1725434829365879,-0.12279001063076578,0.6794455013237138,13.933424829039971,0.6509447710044645,0.16273619275111612,0.11568185126817809,0.6408028692037508,-3.649473043374908,0.23696486543041861,0.059241216357604654,-0.06965568857833881,0.23978060948344096,0.8427536283020087,0.007094639001740501,0.0017736597504351252,-0.001934084627982835,0.007136435875344461,0.06210590643062784,16.101528139147245,104.64346609102552,0.15387036324982886,False
M3,4096,16,0.9484072999621276,0.9202645499899518,0.9707503499812447,99.33068124919603,0.06940235140472846,0.017350587851182115,-0.006206581671179379,0.06748455480896977,0.09692876169428821,0.0009887395789146664,0.0002471848947286666,7.907057834266595e-05,0.0009606027998552647,6.212183815025993,0.03293376068671043,0.008233440171677608,0.0063776545292251186,0.03251949466401766,82.793899284444,0.27613522464763257,0.06903380616190814,-0.09925676295121377,0.2851962497817118,13.913766666427199,0.2656646408100598,0.06641616020251495,0.09602368865540534,0.2745671936406137,-3.5891685167011507,0.06278013048572743,0.01569503262143186,-0.009351161904581407,0.06150166634964331,0.8443024433288352,0.00296336125923205,0.0007408403148080125,-0.0003852696011563683,0.002895012650446925,0.004568180524899493,218.9055346104129,104.64346609102552,2.0919178500833966,True
M0,16384,16,0.17864714999450365,0.16358800002490165,0.19199299998581404,99.37435036833551,0.09025456660539251,0.022563641651348127,0.03746253746830064,0.09508002199264298,0.09633134051761227,0.0012786064355817255,0.00031965160889543137,-0.0005183505983332726,0.0013421417990786327,6.199311491805435,0.026524551902119494,0.0066311379755298735,-0.006494668691332528,0.026490764129558354,82.8943198036732,0.2555792151196132,0.0638948037799033,0.0011637562779895916,0.2474662473545831,13.817933123689922,0.24154694970420199,0.060386737426050496,0.00019014591812904769,0.23387690567884573,-3.53721405083304,0.08121026679579783,0.02030256669894946,0.04260330396352918,0.08943128494597531,0.8549957275390625,0.0024906033510601836,0.0006226508377650459,0.010308014609070937,0.010586339129621843,0.001455239459770047,687.1721305289627,687.1721305289627,1.0,True
M1,16384,16,0.5796860999835189,0.5566633500275202,0.5993565499666147,99.39937385319327,0.04349484477758131,0.010873711194395327,0.06248602232605549,0.0753529489351233,0.09596248891299523,0.0006180724728879417,0.00015451811822198542,-0.0008872022029503129,0.0010701707722615317,6.210647249796107,0.020608093990813887,0.005152023497703472,0.004841089299339352,0.020532567725871767,82.88729844619193,0.12265365238493134,0.030663413096232835,-0.005857601203274498,0.11890325913325489,13.823198702961204,0.11444447588155784,0.02861111897038946,0.005455725189410288,0.11094461171417497,-3.521770545755974,0.040378224958846506,0.010094556239711627,0.05804680904059545,0.06998523433515032,0.8546371459960938,0.0014021047673658318,0.00035052619184145796,0.009949433066102187,0.010041625740105567,0.0010966510463620118,911.8670914666627,687.1721305289627,1.3269849735680304,True
