scenario_id,regime_family,regime_level,contract_id,method,replications,total_value_mean,total_value_sd,fair_coupon_mean,fair_coupon_sd,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,runtime_median_seconds
correlation_low,correlation,low,RC-A,M0,16,98.0175959595862,0.22732523923241188,0.11129664417990562,0.0027025081286142145,0.785736083984375,0.00728934568977367,0.19871179998153815
correlation_low,correlation,low,RC-A,M3,16,97.83408527874442,0.0648506931408664,0.11341973890324912,0.0008030690507596926,0.7697976739797353,0.0022589749179873324,1.6098458499764092
correlation_baseline,correlation,baseline,RC-A,M0,16,99.41195586838043,0.18091429295035713,0.09579388683353504,0.002587703947148025,0.8547210693359375,0.005201565796215189,0.20595614996273065
correlation_baseline,correlation,baseline,RC-A,M3,16,99.33797114240902,0.06077635228065632,0.09683467782650687,0.0008678060170916491,0.8447814291530771,0.0016667252027836989,1.306910399987828
correlation_high,correlation,high,RC-A,M0,16,99.59577351389633,0.22148769271922525,0.09323395554419457,0.003148206522752523,0.86090087890625,0.006542786552966981,0.20051669992972165
correlation_high,correlation,high,RC-A,M3,16,99.56363222395893,0.07412704300076708,0.09370338941440144,0.0010607332796324744,0.8525889136007432,0.002396901284151366,1.2915540999965742
volatility_75%,volatility,75%,RC-A,M0,16,101.51979716527732,0.09836663565749244,0.0641424763742414,0.0014932177414877796,0.9408111572265625,0.0028373142820237937,0.194013099942822
volatility_75%,volatility,75%,RC-A,M3,16,101.4457257185695,0.05185613330932065,0.0652716836457348,0.0008046688670910009,0.9359632573876848,0.0017817925131113628,1.0736169999581762
volatility_100%,volatility,100%,RC-A,M0,16,99.43304044398205,0.1493509766769143,0.09550350945978195,0.0021353734524356275,0.855987548828125,0.00506878507439723,0.1916866999235935
volatility_100%,volatility,100%,RC-A,M3,16,99.30738943553365,0.08151888397238599,0.09727716144104356,0.00113946592539094,0.8444650542884393,0.002496517953238251,1.314262499974575
volatility_125%,volatility,125%,RC-A,M0,16,96.64443955262962,0.2965335785331294,0.13353336103452715,0.004027047437242735,0.7675018310546875,0.007010829376799372,0.1945883500156924
volatility_125%,volatility,125%,RC-A,M3,16,96.63814483480465,0.12459126965199176,0.13339559325119055,0.0017858937529661783,0.7524049737905969,0.0025683748621940033,1.356988449988421
ki_barrier_far,continuous_KI_barrier,far,RC-A-KI-FAR,M0,16,100.81236568533822,0.21115324609442573,0.07605667900177523,0.0029744286075634903,0.943389892578125,0.005113274628916884,0.19471089990111065
ki_barrier_far,continuous_KI_barrier,far,RC-A-KI-FAR,M3,16,100.65509038959732,0.10728825054415086,0.07827896389578465,0.0014998109825751986,0.9368675397763756,0.002935597376384767,1.1786797000095248
ki_barrier_medium,continuous_KI_barrier,medium,RC-A-KI-MEDIUM,M0,16,99.34862044064033,0.21727481751764963,0.09666986342971085,0.003057217182029283,0.85308837890625,0.005010933049081733,0.1900894499849528
ki_barrier_medium,continuous_KI_barrier,medium,RC-A-KI-MEDIUM,M3,16,99.34309933167668,0.08212246077486637,0.09675004575164198,0.0011748041381596291,0.8437180200091703,0.001970682885251785,1.306479600025341
ki_barrier_near,continuous_KI_barrier,near,RC-A-KI-NEAR,M0,16,99.20773841358164,0.21360794772699881,0.09870586946617883,0.003014647854872483,0.72918701171875,0.006015643495473461,0.1958739000256173
ki_barrier_near,continuous_KI_barrier,near,RC-A-KI-NEAR,M3,16,99.24644329767847,0.08040669664105211,0.09811336724650499,0.0011442858993200495,0.6997768556694985,0.0012777368767485303,1.0245691000600345
parameters_symmetric_lee,parameterisation,symmetric_lee,RC-L,M0,16,101.24865907232409,0.19665552567641892,0.0484626683218032,0.0017305381978166344,0.96783447265625,0.0029920925195026423,0.2674300000071525
parameters_symmetric_lee,parameterisation,symmetric_lee,RC-L,M3,16,101.18474232080621,0.13375967706426334,0.04899903999975798,0.0011899806574515582,0.9666700116836666,0.002014828236544316,1.0477010500617325
parameters_asymmetric_hsbc_informed,parameterisation,asymmetric_hsbc_informed,RC-A,M0,16,99.41846653384695,0.12438069659303193,0.09568735456806332,0.0017256727783642933,0.854095458984375,0.005036540817432138,0.18699970003217453
parameters_asymmetric_hsbc_informed,parameterisation,asymmetric_hsbc_informed,RC-A,M3,16,99.34124134877743,0.0590602758288117,0.09677992495033091,0.0008424636971235363,0.8447597330776382,0.002385378868415925,1.3152412000927143
